283119, 2873, 2709, 1299, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284750, 2884, 2658, 1236, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284790, 2899, 2664, 1262, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284830, 2909, 2654, 1242, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284870, 2909, 2668, 1264, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284911, 2900, 2647, 1268, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284951, 2899, 2670, 1244, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284991, 2870, 2679, 1245, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285032, 2883, 2711, 1257, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285072, 2882, 2700, 1257, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285112, 2889, 2670, 1261, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285153, 2886, 2703, 1283, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285192, 2875, 2686, 1269, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285232, 2880, 2697, 1263, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285272, 2893, 2669, 1270, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285311, 2883, 2692, 1265, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285351, 2891, 2683, 1235, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285391, 2903, 2662, 1262, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285430, 2870, 2684, 1275, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285470, 2870, 2689, 1266, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285510, 2872, 2679, 1285, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285550, 2892, 2668, 1268, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285587, 2884, 2692, 1268, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285625, 2905, 2697, 1258, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285663, 2863, 2701, 1271, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285701, 2885, 2691, 1277, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285739, 2889, 2685, 1273, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285777, 2895, 2678, 1288, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285815, 2877, 2683, 1286, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285853, 2868, 2669, 1279, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285891, 2878, 2690, 1283, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285929, 2878, 2682, 1277, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
285967, 2876, 2697, 1276, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286007, 2882, 2668, 1282, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286047, 2868, 2675, 1275, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286087, 2893, 2680, 1275, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286127, 2883, 2667, 1266, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286168, 2880, 2664, 1287, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286208, 2888, 2662, 1290, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286248, 2864, 2706, 1289, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286288, 2896, 2682, 1290, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286328, 2871, 2669, 1283, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286369, 2904, 2672, 1279, 77, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286411, 2887, 2659, 1279, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286453, 2901, 2689, 1278, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286495, 2875, 2659, 1287, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286537, 2882, 2680, 1295, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286579, 2889, 2672, 1283, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286621, 2900, 2670, 1297, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286663, 2885, 2654, 1282, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286705, 2884, 2679, 1291, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286747, 2905, 2647, 1289, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286789, 2875, 2670, 1280, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286821, 2881, 2664, 1294, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286854, 2865, 2662, 1305, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286887, 2895, 2664, 1305, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286920, 2875, 2678, 1290, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286953, 2887, 2667, 1295, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
286986, 2876, 2701, 1289, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287019, 2869, 2700, 1288, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287052, 2874, 2693, 1293, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287085, 2881, 2685, 1298, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287118, 2874, 2667, 1282, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287151, 2862, 2667, 1289, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287189, 2888, 2676, 1281, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287228, 2845, 2687, 1282, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287267, 2892, 2698, 1281, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287305, 2877, 2696, 1260, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287344, 2879, 2681, 1261, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287383, 2866, 2689, 1274, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287421, 2881, 2660, 1261, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287460, 2870, 2681, 1263, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287499, 2877, 2691, 1244, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287538, 2864, 2688, 1274, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287575, 2877, 2678, 1257, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287613, 2866, 2672, 1264, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287650, 2880, 2689, 1247, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287688, 2883, 2701, 1247, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287726, 2885, 2720, 1253, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287763, 2888, 2679, 1268, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287801, 2854, 2696, 1263, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287839, 2891, 2681, 1291, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287876, 2861, 2693, 1260, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287914, 2893, 2684, 1268, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287952, 2875, 2702, 1245, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
287993, 2880, 2681, 1256, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288035, 2892, 2673, 1254, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288076, 2908, 2696, 1223, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288118, 2912, 2697, 1228, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288159, 2907, 2688, 1213, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288201, 2887, 2688, 1210, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288242, 2928, 2693, 1210, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288284, 2881, 2720, 1190, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288325, 2883, 2703, 1199, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288367, 2894, 2703, 1182, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288405, 2894, 2699, 1175, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288444, 2888, 2717, 1178, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288482, 2900, 2713, 1172, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288521, 2886, 2706, 1176, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288559, 2883, 2712, 1194, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288598, 2867, 2717, 1184, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288636, 2898, 2707, 1205, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288675, 2881, 2689, 1181, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288713, 2901, 2690, 1165, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288752, 2899, 2711, 1149, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288790, 2914, 2691, 1143, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
288828, 2896, 2619, 1158, 76, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
