76459, 3061, 1839, 2084, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77638, 3205, 1838, 1890, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77680, 3261, 1801, 1856, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77721, 3208, 1835, 1873, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77763, 3211, 1848, 1868, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77805, 3231, 1835, 1866, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77846, 3214, 1885, 1848, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77888, 3200, 1881, 1856, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77929, 3244, 1847, 1855, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77971, 3212, 1895, 1831, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78013, 3247, 1847, 1836, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78046, 3197, 1885, 1806, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78080, 3211, 1891, 1831, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78114, 3244, 1842, 1829, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78148, 3226, 1879, 1796, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78182, 3210, 1919, 1801, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78216, 3214, 1937, 1767, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78250, 3223, 1923, 1777, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78284, 3219, 1993, 1750, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78318, 3237, 1930, 1728, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78352, 3212, 1945, 1720, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78386, 3215, 1968, 1757, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78426, 3236, 1956, 1735, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78467, 3220, 1975, 1752, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78507, 3242, 1934, 1702, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78548, 3217, 1972, 1709, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78588, 3236, 1948, 1710, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78629, 3221, 1991, 1715, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78669, 3232, 1992, 1715, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78710, 3237, 1979, 1706, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78750, 3205, 1968, 1705, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78791, 3224, 1957, 1690, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78830, 3226, 1963, 1726, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78870, 3235, 1929, 1724, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78910, 3218, 1975, 1729, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78950, 3244, 1936, 1726, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
78990, 3228, 1940, 1712, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79030, 3206, 1947, 1740, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79070, 3238, 1933, 1723, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79110, 3230, 1935, 1736, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79150, 3253, 1909, 1725, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79190, 3203, 1981, 1757, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79230, 3216, 1968, 1742, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79265, 3180, 1956, 1745, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79301, 3206, 2001, 1769, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79336, 3188, 1960, 1783, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
79372, 3219, 1931, 1784, 67, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
