206180, 2950, 1589, 2519, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207413, 3473, 1338, 1836, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207455, 3499, 1335, 1822, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207497, 3481, 1373, 1811, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207539, 3506, 1354, 1814, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207581, 3472, 1356, 1831, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207623, 3487, 1367, 1827, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207665, 3460, 1362, 1835, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207707, 3481, 1338, 1815, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207743, 3493, 1336, 1823, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207780, 3461, 1358, 1800, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207816, 3496, 1359, 1814, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207853, 3496, 1334, 1785, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207889, 3486, 1343, 1815, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207926, 3503, 1333, 1801, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207962, 3477, 1320, 1789, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207999, 3507, 1355, 1796, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208035, 3510, 1335, 1793, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208072, 3482, 1329, 1793, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208109, 3523, 1347, 1791, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208147, 3490, 1323, 1775, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208185, 3492, 1329, 1795, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208223, 3506, 1333, 1812, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208261, 3490, 1335, 1801, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208300, 3746, 1405, 1829, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208338, 3501, 1342, 1796, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208376, 3498, 1336, 1789, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208414, 3488, 1332, 1806, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208452, 3491, 1357, 1804, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208491, 3506, 1327, 1779, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208531, 3496, 1350, 1795, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208571, 3497, 1342, 1776, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208611, 3483, 1338, 1785, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208651, 3511, 1322, 1796, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208691, 3494, 1323, 1787, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208731, 3497, 1337, 1781, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208771, 3504, 1340, 1788, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208811, 3486, 1327, 1786, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208851, 3507, 1323, 1774, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208892, 3494, 1331, 1777, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208927, 3501, 1329, 1792, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208963, 3516, 1333, 1776, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
208999, 3480, 1334, 1787, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209034, 3517, 1347, 1777, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209070, 3511, 1356, 1781, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209106, 3490, 1364, 1790, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209142, 3524, 1326, 1779, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209177, 3512, 1348, 1751, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209213, 3515, 1355, 1759, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209249, 3515, 1316, 1748, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209285, 3526, 1349, 1745, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209326, 3514, 1337, 1771, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209368, 3502, 1337, 1757, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209410, 3509, 1336, 1778, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209451, 3486, 1344, 1758, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209493, 3517, 1321, 1767, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209535, 3512, 1348, 1754, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209576, 3502, 1358, 1762, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209618, 3489, 1337, 1763, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209660, 3522, 1350, 1740, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209702, 3497, 1325, 1745, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209749, 3520, 1348, 1757, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209796, 3532, 1346, 1761, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209843, 3519, 1358, 1757, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209891, 3532, 1331, 1758, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209938, 3540, 1348, 1740, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
209985, 3514, 1343, 1760, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210033, 3511, 1323, 1755, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210080, 3528, 1345, 1757, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210127, 3523, 1317, 1758, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210175, 3530, 1335, 1747, 81, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210208, 3504, 1339, 1755, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210241, 3511, 1301, 1740, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210275, 3519, 1339, 1771, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210308, 3511, 1339, 1745, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210342, 3540, 1321, 1756, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210375, 3531, 1321, 1731, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210409, 3528, 1360, 1753, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210442, 3523, 1352, 1736, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210476, 3518, 1357, 1743, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210509, 3507, 1320, 1756, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210543, 3531, 1352, 1767, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210583, 3535, 1339, 1736, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210623, 3513, 1358, 1756, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210663, 3507, 1335, 1756, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210703, 3526, 1338, 1755, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210743, 3512, 1350, 1777, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210783, 3518, 1335, 1758, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210823, 3481, 1366, 1780, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210863, 3519, 1357, 1766, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210903, 3510, 1343, 1766, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210943, 3513, 1349, 1736, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
210974, 3502, 1373, 1766, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211006, 3506, 1360, 1759, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211038, 3495, 1350, 1773, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211070, 3514, 1350, 1749, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211102, 3516, 1366, 1753, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211133, 3497, 1333, 1757, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211165, 3518, 1337, 1762, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211197, 3493, 1364, 1784, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211229, 3502, 1325, 1757, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211261, 3496, 1358, 1754, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211293, 3496, 1333, 1772, 80, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211335, 3492, 1377, 1760, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211378, 3510, 1352, 1770, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211420, 3487, 1352, 1784, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211463, 3498, 1363, 1771, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211506, 3481, 1346, 1776, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211548, 3518, 1360, 1758, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211591, 3492, 1398, 1784, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211633, 3492, 1346, 1779, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211676, 3532, 1356, 1798, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211719, 3502, 1350, 1764, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211759, 3484, 1350, 1770, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211800, 3491, 1352, 1763, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211841, 3506, 1353, 1769, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211882, 3492, 1349, 1775, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211923, 3518, 1335, 1785, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
211964, 3490, 1364, 1775, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212005, 3488, 1342, 1769, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212046, 3491, 1349, 1777, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212087, 3503, 1354, 1760, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212128, 3506, 1364, 1764, 79, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212161, 3508, 1364, 1782, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212194, 3494, 1366, 1780, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212227, 3500, 1361, 1773, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212260, 3502, 1344, 1769, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212293, 3495, 1346, 1773, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212326, 3512, 1350, 1781, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212359, 3501, 1359, 1748, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212392, 3505, 1341, 1790, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212425, 3488, 1386, 1799, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212458, 3518, 1311, 1757, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212492, 3451, 1392, 1814, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
212535, 3451, 1359, 1799, 78, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
