110463, 2714, 2099, 2353, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111504, 2531, 2260, 2406, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111546, 2528, 2255, 2405, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111588, 2544, 2236, 2401, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111625, 2515, 2262, 2414, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111662, 2509, 2246, 2407, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111699, 2541, 2227, 2408, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111737, 2509, 2244, 2398, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111774, 2510, 2275, 2406, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111811, 2500, 2271, 2411, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111849, 2502, 2258, 2381, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111886, 2516, 2287, 2378, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111923, 2506, 2256, 2405, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111961, 2504, 2260, 2389, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111998, 2508, 2267, 2384, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112035, 2549, 2306, 2387, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112072, 2481, 2193, 2428, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112109, 2510, 2243, 2403, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112146, 2521, 2212, 2444, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112183, 2540, 2148, 2587, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112220, 2385, 2443, 2284, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112257, 2383, 2069, 2436, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112294, 2509, 2280, 2446, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112331, 2608, 2151, 2434, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112369, 2499, 2299, 2453, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112411, 2557, 2343, 2369, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112453, 2515, 2178, 2482, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112495, 2486, 2202, 2445, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112537, 2528, 2169, 2478, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112579, 2485, 2217, 2450, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112621, 2508, 2208, 2474, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112663, 2532, 2174, 2470, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112705, 2512, 2213, 2464, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112747, 2526, 2185, 2494, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112789, 2530, 2192, 2449, 74, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112825, 2545, 2189, 2464, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112862, 2498, 2180, 2474, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112899, 2513, 2188, 2470, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112936, 2523, 2201, 2464, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
112973, 2505, 2221, 2430, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113009, 2497, 2208, 2458, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113046, 2504, 2240, 2440, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113083, 2489, 2227, 2443, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113120, 2504, 2285, 2414, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113157, 2482, 2265, 2426, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113194, 2456, 2299, 2422, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113237, 2460, 2276, 2417, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113280, 2471, 2306, 2400, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113323, 2481, 2267, 2403, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113367, 2483, 2295, 2413, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113410, 2471, 2304, 2426, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113453, 2501, 2295, 2391, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113497, 2465, 2317, 2421, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113540, 2468, 2309, 2391, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113583, 2461, 2284, 2389, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113627, 2480, 2311, 2397, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113661, 2482, 2306, 2385, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113696, 2482, 2318, 2397, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113730, 2477, 2298, 2412, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113765, 2443, 2297, 2394, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113799, 2444, 2292, 2402, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113834, 2438, 2321, 2393, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113868, 2451, 2325, 2408, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113903, 2456, 2331, 2392, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113937, 2445, 2331, 2405, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
113972, 2433, 2316, 2404, 73, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114010, 2427, 2365, 2367, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114049, 2452, 2353, 2415, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114088, 2460, 2242, 2435, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114127, 2461, 2294, 2423, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114166, 2437, 2297, 2467, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114205, 2461, 2314, 2431, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114244, 2460, 2311, 2410, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114283, 2464, 2309, 2408, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114322, 2443, 2302, 2424, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114361, 2470, 2291, 2421, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114400, 2475, 2312, 2416, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114436, 2474, 2312, 2411, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114473, 2440, 2334, 2398, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114510, 2435, 2318, 2402, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114547, 2465, 2336, 2408, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114584, 2444, 2315, 2410, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114620, 2442, 2300, 2409, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114657, 2425, 2341, 2430, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114694, 2434, 2310, 2402, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114731, 2463, 2294, 2403, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114768, 2465, 2298, 2413, 72, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114804, 2467, 2326, 2390, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114841, 2455, 2292, 2426, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114878, 2465, 2303, 2400, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114915, 2470, 2305, 2400, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114952, 2435, 2320, 2410, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
114989, 2454, 2287, 2429, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
115026, 2440, 2304, 2391, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
115063, 2425, 2235, 2377, 71, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
