257362, 3505, 2084, 660, 86, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258080, 3530, 2083, 675, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258114, 3563, 2066, 721, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258149, 3498, 2159, 689, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258183, 3481, 2081, 649, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258218, 3481, 2092, 679, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258252, 3497, 2053, 680, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258287, 3519, 2108, 683, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258321, 3478, 2085, 701, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258356, 3530, 2094, 684, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258390, 3512, 2093, 686, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258425, 3471, 2063, 681, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258466, 3536, 2133, 710, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258507, 3475, 2064, 686, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258548, 3516, 2072, 688, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258589, 3511, 2052, 697, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258630, 3516, 2098, 691, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258671, 3519, 2053, 693, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258713, 3524, 2070, 690, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258754, 3511, 2059, 690, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258795, 3528, 2028, 687, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258836, 3509, 2095, 675, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258877, 3531, 2066, 686, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258918, 3527, 2087, 686, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258960, 3482, 2077, 680, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258994, 3523, 2033, 678, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259029, 3491, 2071, 671, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259063, 3526, 2060, 678, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259098, 3506, 2090, 676, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259133, 3500, 2045, 680, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259167, 3508, 2055, 691, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259202, 3525, 2042, 678, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259236, 3547, 2101, 691, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259271, 3545, 2022, 653, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259306, 3522, 2107, 666, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259340, 3496, 2054, 653, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259375, 3539, 2106, 668, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259410, 3490, 2076, 638, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259451, 3503, 2083, 681, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259493, 3558, 2082, 677, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259534, 3508, 2126, 688, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259576, 3470, 2039, 661, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259618, 3515, 2066, 665, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259659, 3518, 2120, 648, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259701, 3509, 2076, 658, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259742, 3541, 2136, 674, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259784, 3485, 2069, 637, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259826, 3482, 2088, 644, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259867, 3515, 2123, 656, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259909, 3527, 2085, 662, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259951, 3518, 2099, 663, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
259988, 3512, 2091, 647, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260026, 3509, 2087, 670, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260064, 3506, 2097, 649, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260102, 3490, 2076, 636, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260140, 3520, 2071, 662, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260178, 3523, 2066, 623, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260216, 3519, 2108, 643, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260254, 3513, 2125, 644, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260292, 3500, 2094, 639, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260330, 3527, 2078, 633, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260368, 3495, 2105, 650, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260406, 3510, 2078, 643, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260444, 3518, 2089, 650, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260482, 3519, 2089, 643, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260521, 3501, 2096, 647, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260560, 3518, 2076, 661, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
260599, 3490, 2124, 639, 84, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
