148858, 2695, 2426, 1986, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150033, 3173, 2302, 1363, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150079, 3177, 2281, 1387, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150114, 3177, 2295, 1383, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150149, 3182, 2267, 1403, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150184, 3172, 2272, 1398, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150220, 3174, 2249, 1384, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150255, 3191, 2268, 1398, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150290, 3170, 2270, 1358, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150326, 3168, 2272, 1386, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150361, 3170, 2273, 1380, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150396, 3162, 2276, 1355, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150432, 3166, 2273, 1369, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150469, 3162, 2282, 1361, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150507, 3167, 2277, 1372, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150545, 3184, 2272, 1361, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150583, 3175, 2275, 1370, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150621, 3179, 2269, 1362, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150658, 3198, 2263, 1364, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150696, 3183, 2271, 1344, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150734, 3200, 2249, 1343, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150772, 3179, 2269, 1345, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150810, 3201, 2262, 1343, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150848, 3194, 2248, 1331, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150887, 3193, 2244, 1344, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150927, 3205, 2243, 1337, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
150966, 3206, 2233, 1310, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151006, 3214, 2249, 1343, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151045, 3192, 2268, 1338, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151085, 3235, 2127, 1332, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151124, 3193, 2241, 1340, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151164, 3238, 2259, 1462, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
151203, 3155, 2290, 1391, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
