46351, 2418, 2072, 2653, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49061, 2254, 2178, 2727, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49098, 2251, 2168, 2736, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49135, 2259, 2174, 2720, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49173, 2248, 2181, 2696, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49213, 2246, 2173, 2691, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49253, 2250, 2203, 2711, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49293, 2271, 2175, 2703, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49333, 2270, 2178, 2715, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49373, 2253, 2208, 2692, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49413, 2273, 2173, 2711, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49453, 2271, 2173, 2721, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49493, 2260, 2190, 2712, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49533, 2267, 2175, 2702, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49574, 2232, 2177, 2707, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49614, 2264, 2178, 2706, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49655, 2261, 2184, 2691, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49696, 2290, 2174, 2711, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49736, 2269, 2179, 2722, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49777, 2260, 2219, 2725, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49818, 2263, 2197, 2694, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49859, 2248, 2182, 2706, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49899, 2259, 2223, 2682, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49940, 2256, 2187, 2709, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49981, 2283, 2223, 2690, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50022, 2258, 2237, 2691, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50059, 2265, 2188, 2703, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50096, 2232, 2200, 2703, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50133, 2240, 2203, 2694, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50170, 2251, 2172, 2717, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50207, 2275, 2196, 2702, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50244, 2265, 2189, 2697, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50281, 2311, 2160, 2700, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50318, 2286, 2129, 2697, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50355, 2255, 2186, 2699, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50392, 2244, 2208, 2688, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50430, 2260, 2260, 2696, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50469, 2234, 2223, 2678, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50508, 2252, 2193, 2683, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50546, 2240, 2206, 2680, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50585, 2247, 2208, 2706, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50624, 2278, 2166, 2678, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50663, 2203, 2156, 2723, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50701, 2253, 2191, 2696, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50740, 2243, 2217, 2686, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50779, 2258, 2192, 2692, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50818, 2241, 2234, 2701, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50853, 2237, 2218, 2690, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50888, 2243, 2217, 2685, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50923, 2267, 2204, 2698, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50958, 2251, 2209, 2699, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
50994, 2236, 2206, 2697, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51029, 2235, 2194, 2705, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51064, 2243, 2221, 2681, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51099, 2239, 2212, 2719, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51134, 2235, 2223, 2693, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51170, 2220, 2242, 2706, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51212, 2234, 2218, 2677, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51255, 2242, 2232, 2676, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51297, 2246, 2228, 2698, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51340, 2250, 2235, 2669, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51383, 2257, 2231, 2691, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51425, 2240, 2198, 2681, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51468, 2267, 2239, 2684, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51510, 2224, 2235, 2682, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51553, 2230, 2245, 2677, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51596, 2226, 2250, 2679, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51629, 2230, 2248, 2662, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51662, 2221, 2245, 2664, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51695, 2301, 2184, 2686, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51728, 2250, 2174, 2685, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51761, 2245, 2267, 2655, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51795, 2236, 2237, 2694, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51828, 2246, 2249, 2662, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51861, 2250, 2258, 2680, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51894, 2245, 2234, 2669, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51927, 2246, 2267, 2673, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
51961, 2240, 2253, 2647, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52001, 2244, 2265, 2664, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52042, 2249, 2253, 2659, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52083, 2230, 2238, 2658, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52123, 2249, 2245, 2659, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52164, 2219, 2266, 2656, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52205, 2247, 2248, 2668, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52245, 2248, 2276, 2646, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52286, 2220, 2244, 2583, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52327, 2233, 2174, 2615, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52368, 2241, 2267, 2676, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52410, 2269, 2359, 2592, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52453, 2237, 2300, 2634, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52496, 2251, 2262, 2587, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52538, 2282, 2251, 2598, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52581, 2283, 2316, 2605, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52624, 2274, 2281, 2584, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52667, 2324, 2270, 2627, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52709, 2308, 2265, 2635, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
52752, 2302, 2233, 2624, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
