296858, 3405, 2170, 748, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298165, 3404, 2267, 617, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298203, 3402, 2285, 615, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298241, 3434, 2295, 628, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298279, 3409, 2267, 606, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298317, 3392, 2267, 623, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298355, 3387, 2289, 596, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298393, 3372, 2289, 589, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298431, 3405, 2247, 621, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298469, 3389, 2299, 636, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298507, 3377, 2314, 664, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298545, 3398, 2268, 619, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298583, 3300, 2326, 626, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298621, 3348, 2365, 705, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298659, 3286, 2413, 714, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298698, 3232, 2430, 730, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298736, 3296, 2459, 755, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298774, 3121, 2575, 732, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298812, 3082, 2607, 735, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298850, 3137, 2609, 801, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298888, 3062, 2642, 781, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298927, 3119, 2604, 837, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298964, 3083, 2574, 840, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299002, 3153, 2553, 849, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299039, 3140, 2629, 811, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299077, 3121, 2585, 801, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299114, 3133, 2577, 812, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299152, 3094, 2595, 811, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299189, 3100, 2575, 817, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299227, 3097, 2606, 829, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299264, 3109, 2586, 831, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299302, 3112, 2582, 850, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299339, 3089, 2597, 839, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299377, 3137, 2606, 822, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299415, 3111, 2579, 819, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299453, 3111, 2587, 820, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299491, 3137, 2559, 827, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
299529, 3134, 2553, 871, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
