206338, 2803, 926, 2900, 104, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209001, 2856, 964, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209037, 2836, 970, 2871, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209072, 2858, 946, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209107, 2846, 984, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209143, 2835, 956, 2870, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209178, 2853, 961, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209214, 2855, 928, 2875, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209257, 2846, 949, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209300, 2849, 937, 2868, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209343, 2851, 954, 2860, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209386, 2852, 975, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209429, 2825, 978, 2876, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209472, 2849, 951, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209515, 2848, 950, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209558, 2851, 917, 2871, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209601, 2847, 943, 2860, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209645, 2855, 949, 2880, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209676, 2839, 938, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209708, 2851, 953, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209740, 2850, 911, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209771, 2850, 945, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209803, 2847, 960, 2863, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209835, 2867, 958, 2880, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209867, 2860, 957, 2859, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209898, 2828, 952, 2896, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209930, 2848, 913, 2893, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209962, 2830, 950, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
209994, 2862, 931, 2876, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210035, 2837, 938, 2885, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210077, 2853, 928, 2870, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210118, 2850, 964, 2877, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210160, 2869, 964, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210202, 2851, 952, 2885, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210243, 2831, 938, 2888, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210285, 2829, 917, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210326, 2860, 925, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210368, 2842, 931, 2882, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210410, 2854, 959, 2899, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210447, 2853, 943, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210485, 2841, 935, 2898, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210522, 2830, 942, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210560, 2840, 933, 2894, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210598, 2830, 950, 2885, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210635, 2855, 921, 2896, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210673, 2828, 924, 2904, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210710, 2855, 942, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210748, 2831, 959, 2863, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210786, 2835, 933, 2897, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210822, 2840, 938, 2893, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210859, 2842, 927, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210896, 2844, 903, 2897, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210933, 2873, 931, 2881, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
210970, 2859, 913, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211007, 2858, 913, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211044, 2838, 952, 2891, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211081, 2835, 923, 2887, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211118, 2858, 939, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211155, 2851, 919, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211192, 2839, 896, 2894, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211230, 2842, 905, 2898, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211269, 2840, 913, 2889, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211307, 2832, 931, 2901, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211346, 2843, 910, 2889, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211385, 2846, 918, 2888, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211423, 2820, 893, 2887, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211462, 2845, 909, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211500, 2847, 915, 2889, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211539, 2848, 935, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211578, 2879, 896, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211618, 2889, 914, 2874, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211659, 2848, 920, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211700, 2841, 931, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211740, 2852, 939, 2891, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211781, 2850, 931, 2892, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211822, 2822, 952, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211863, 2859, 953, 2871, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211903, 2841, 936, 2869, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211944, 2863, 922, 2886, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
211985, 2836, 960, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212026, 2856, 936, 2876, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212070, 2855, 942, 2880, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212115, 2840, 979, 2869, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212160, 2845, 956, 2862, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212205, 2860, 943, 2852, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212250, 2848, 961, 2866, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212295, 2876, 954, 2856, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212340, 2850, 950, 2860, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212385, 2856, 939, 2834, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212430, 2856, 1023, 2844, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
212475, 2796, 1028, 2914, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
