117509, 2886, 1300, 2705, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120225, 2946, 1429, 2578, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120264, 2936, 1397, 2576, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120303, 2956, 1407, 2571, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120342, 2943, 1396, 2569, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120381, 2942, 1382, 2570, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120420, 2949, 1416, 2569, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120459, 2963, 1360, 2591, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120498, 2966, 1402, 2584, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120537, 2960, 1437, 2556, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120576, 2944, 1416, 2571, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120615, 2944, 1409, 2570, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120654, 2925, 1426, 2542, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120693, 2960, 1385, 2585, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120732, 2940, 1421, 2552, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120771, 2964, 1418, 2548, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120810, 2939, 1408, 2550, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120849, 2977, 1352, 2553, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120889, 2984, 1323, 2572, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120929, 2982, 1323, 2572, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120969, 2953, 1422, 2573, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
121009, 2928, 1369, 2603, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
121049, 2913, 1377, 2617, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
121089, 2922, 1373, 2593, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
121129, 2916, 1351, 2626, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
121169, 2926, 1522, 2591, 99, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
