265860, 3609, 1190, 1753, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266988, 3589, 1177, 1698, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267024, 3611, 1161, 1706, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267059, 3624, 1145, 1704, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267094, 3602, 1203, 1679, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267130, 3606, 1154, 1683, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267165, 3592, 1152, 1682, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267200, 3607, 1162, 1668, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267236, 3596, 1153, 1682, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267271, 3625, 1162, 1700, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267307, 3602, 1184, 1677, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267343, 3605, 1155, 1672, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267379, 3608, 1142, 1661, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267415, 3612, 1169, 1664, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267450, 3600, 1174, 1694, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267486, 3642, 1165, 1665, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267522, 3645, 1129, 1677, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267558, 3623, 1182, 1665, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267594, 3630, 1148, 1653, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267630, 3619, 1168, 1686, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267670, 3622, 1138, 1682, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267710, 3626, 1146, 1674, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267751, 3634, 1153, 1693, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267791, 3616, 1145, 1678, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267832, 3619, 1159, 1691, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267872, 3595, 1152, 1674, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267912, 3578, 1152, 1682, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267953, 3630, 1145, 1681, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
267993, 3622, 1144, 1691, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268034, 3625, 1147, 1684, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268070, 3625, 1148, 1695, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268107, 3616, 1132, 1670, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268144, 3643, 1155, 1671, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268181, 3620, 1144, 1668, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268218, 3609, 1134, 1671, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268254, 3637, 1155, 1671, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268291, 3633, 1133, 1676, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268328, 3630, 1150, 1679, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268365, 3627, 1152, 1651, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268402, 3619, 1145, 1671, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268439, 3624, 1154, 1680, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268476, 3617, 1159, 1677, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268514, 3617, 1145, 1679, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268552, 3626, 1149, 1678, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268590, 3612, 1146, 1654, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268628, 3613, 1153, 1657, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268666, 3626, 1136, 1661, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268704, 3617, 1153, 1671, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268742, 3625, 1148, 1659, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268780, 3617, 1173, 1661, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268818, 3643, 1140, 1673, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268859, 3614, 1145, 1685, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268900, 3625, 1144, 1691, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268941, 3648, 1128, 1669, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
268983, 3626, 1145, 1659, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269024, 3639, 1119, 1669, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269065, 3610, 1160, 1670, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269107, 3636, 1144, 1648, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269148, 3635, 1134, 1643, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269189, 3618, 1149, 1647, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269231, 3617, 1120, 1644, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269270, 3665, 1113, 1668, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269310, 3633, 1117, 1657, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269349, 3626, 1120, 1662, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269389, 3633, 1128, 1669, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269428, 3615, 1141, 1658, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269468, 3651, 1129, 1650, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269507, 3641, 1154, 1639, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269547, 3646, 1126, 1639, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269586, 3630, 1148, 1653, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269626, 3642, 1146, 1664, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269666, 3645, 1138, 1672, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269701, 3635, 1113, 1660, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269736, 3631, 1138, 1657, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269771, 3625, 1125, 1659, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269806, 3641, 1155, 1654, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269841, 3644, 1120, 1640, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269876, 3638, 1110, 1651, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269911, 3636, 1138, 1655, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269946, 3633, 1143, 1662, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
269981, 3642, 1137, 1662, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270017, 3636, 1131, 1644, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270059, 3627, 1129, 1665, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270102, 3634, 1135, 1653, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270144, 3636, 1120, 1653, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270187, 3633, 1123, 1664, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270229, 3631, 1122, 1660, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270272, 3633, 1130, 1655, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270314, 3642, 1131, 1657, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270357, 3636, 1140, 1651, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270399, 3650, 1137, 1648, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270442, 3626, 1120, 1643, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270478, 3622, 1143, 1650, 70, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270514, 3639, 1127, 1655, 70, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270550, 3643, 1139, 1653, 70, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270586, 3616, 1132, 1665, 70, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
270622, 3643, 1075, 1652, 70, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
