430742, 3767, 1034, 1431, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432174, 3767, 993, 1408, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432214, 3780, 949, 1420, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432254, 3780, 960, 1443, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432294, 3798, 939, 1435, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432334, 3793, 957, 1401, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432374, 3808, 924, 1415, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432415, 3778, 936, 1426, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432451, 3790, 939, 1438, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432488, 3778, 938, 1404, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432525, 3788, 905, 1435, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432561, 3773, 917, 1435, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432598, 3811, 926, 1434, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432635, 3770, 955, 1441, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432672, 3786, 925, 1428, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432708, 3786, 929, 1419, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432745, 3799, 971, 1416, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432782, 3793, 920, 1418, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432819, 3794, 955, 1444, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432859, 3794, 978, 1433, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432900, 3789, 936, 1432, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432940, 3783, 949, 1427, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432981, 3783, 970, 1423, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433022, 3783, 946, 1435, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433062, 3779, 942, 1417, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433103, 3791, 936, 1419, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433143, 3784, 947, 1442, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433184, 3784, 949, 1440, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433225, 3788, 948, 1428, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433266, 3791, 941, 1413, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433307, 3785, 948, 1421, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433349, 3792, 956, 1398, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433390, 3778, 936, 1411, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433432, 3794, 914, 1426, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433473, 3788, 908, 1422, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433515, 3777, 933, 1415, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433556, 3784, 956, 1406, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433598, 3785, 941, 1427, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433639, 3797, 948, 1425, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433681, 3782, 948, 1429, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433714, 3768, 940, 1406, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433748, 3789, 966, 1418, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433782, 3790, 938, 1437, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433816, 3772, 953, 1412, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433850, 3777, 951, 1419, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433883, 3798, 932, 1418, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433917, 3796, 959, 1432, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433951, 3785, 945, 1419, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
433985, 3796, 960, 1433, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434019, 3793, 925, 1422, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434058, 3780, 964, 1413, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434098, 3789, 940, 1422, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434137, 3774, 933, 1400, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434177, 3783, 945, 1418, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434216, 3768, 926, 1415, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434256, 3783, 954, 1425, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434295, 3778, 956, 1423, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434335, 3809, 924, 1434, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434374, 3773, 936, 1443, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434414, 3796, 939, 1416, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434450, 3781, 942, 1434, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434487, 3784, 934, 1428, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434523, 3767, 928, 1435, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434560, 3804, 944, 1430, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434597, 3785, 933, 1433, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434633, 3790, 942, 1448, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434670, 3787, 964, 1429, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434707, 3778, 945, 1414, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434743, 3778, 954, 1427, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434780, 3765, 946, 1447, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434817, 3785, 907, 1439, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434860, 3777, 960, 1427, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434903, 3771, 934, 1431, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434946, 3791, 941, 1436, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
434989, 3780, 955, 1448, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435032, 3763, 930, 1444, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435075, 3764, 958, 1436, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435118, 3787, 948, 1451, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435161, 3770, 946, 1458, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435204, 3762, 948, 1437, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435248, 3764, 954, 1464, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435282, 3763, 962, 1433, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435316, 3774, 953, 1450, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435350, 3802, 948, 1448, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435385, 3765, 937, 1439, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435419, 3766, 958, 1437, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435453, 3764, 950, 1458, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435487, 3795, 959, 1429, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435522, 3778, 959, 1443, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435556, 3780, 943, 1452, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435590, 3770, 961, 1421, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435625, 3760, 977, 1449, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435664, 3796, 976, 1410, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435704, 3765, 947, 1464, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435744, 3790, 972, 1429, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435783, 3774, 994, 1424, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435823, 3784, 967, 1403, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435863, 3769, 1001, 1428, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435902, 3774, 1024, 1448, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435942, 3768, 973, 1493, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
435982, 3755, 1034, 1431, 75, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
