473212, 3266, 1695, 1892, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475184, 3333, 1641, 1784, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475218, 3357, 1631, 1818, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475252, 3365, 1617, 1822, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475286, 3341, 1616, 1807, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475321, 3370, 1612, 1794, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475360, 3372, 1655, 1805, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475400, 3364, 1623, 1788, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475440, 3361, 1645, 1797, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475479, 3370, 1630, 1792, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475519, 3349, 1647, 1801, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475559, 3361, 1630, 1810, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475598, 3357, 1613, 1830, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475638, 3373, 1624, 1819, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475678, 3383, 1634, 1807, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475718, 3365, 1606, 1808, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475757, 3366, 1609, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475796, 3366, 1613, 1808, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475835, 3371, 1613, 1825, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475874, 3376, 1583, 1819, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475913, 3354, 1608, 1808, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475952, 3341, 1618, 1805, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475991, 3361, 1596, 1810, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476030, 3368, 1611, 1814, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476069, 3362, 1600, 1822, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476108, 3362, 1632, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476148, 3361, 1613, 1809, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476188, 3348, 1636, 1783, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476228, 3353, 1617, 1815, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476268, 3355, 1617, 1811, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476308, 3371, 1627, 1820, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476348, 3340, 1636, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476388, 3376, 1600, 1803, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476428, 3344, 1616, 1833, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476468, 3374, 1635, 1831, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476508, 3393, 1597, 1804, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476549, 3348, 1596, 1804, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476590, 3359, 1631, 1817, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476632, 3348, 1626, 1812, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476674, 3339, 1629, 1816, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476716, 3361, 1642, 1807, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476758, 3353, 1621, 1817, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476799, 3345, 1614, 1827, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476841, 3366, 1595, 1828, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476883, 3386, 1601, 1815, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476925, 3360, 1649, 1823, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476967, 3382, 1606, 1805, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
476998, 3358, 1617, 1817, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477029, 3387, 1600, 1796, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477060, 3372, 1617, 1814, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477091, 3395, 1629, 1799, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477122, 3324, 1613, 1832, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477153, 3361, 1580, 1801, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477184, 3346, 1616, 1816, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477215, 3365, 1583, 1823, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477246, 3370, 1603, 1830, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477277, 3367, 1594, 1814, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477309, 3369, 1629, 1788, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477349, 3382, 1612, 1795, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477390, 3373, 1595, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477431, 3373, 1604, 1809, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477472, 3371, 1598, 1821, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477513, 3393, 1629, 1816, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477554, 3371, 1615, 1793, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477595, 3371, 1608, 1805, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477636, 3370, 1617, 1837, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477677, 3347, 1610, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477718, 3346, 1600, 1801, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477758, 3385, 1600, 1824, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477798, 3375, 1596, 1820, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477838, 3383, 1590, 1818, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477878, 3377, 1613, 1814, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477919, 3389, 1593, 1800, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477959, 3365, 1635, 1824, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
477999, 3343, 1620, 1826, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478039, 3355, 1635, 1821, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478079, 3359, 1610, 1797, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478120, 3379, 1621, 1828, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478155, 3368, 1618, 1815, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478190, 3351, 1642, 1832, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478225, 3392, 1607, 1813, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478260, 3395, 1627, 1803, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478295, 3397, 1613, 1794, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478331, 3369, 1614, 1775, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478366, 3378, 1635, 1806, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478401, 3358, 1620, 1770, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478436, 3386, 1605, 1785, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478471, 3400, 1635, 1775, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478507, 3396, 1609, 1791, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478545, 3405, 1595, 1766, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478583, 3405, 1606, 1769, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478622, 3408, 1580, 1780, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478660, 3417, 1567, 1752, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478699, 3412, 1616, 1777, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478737, 3420, 1548, 1732, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478775, 3409, 1580, 1728, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478814, 3419, 1564, 1720, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478852, 3408, 1602, 1763, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478891, 3426, 1561, 1741, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478930, 3386, 1614, 1769, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
478970, 3426, 1560, 1738, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479009, 3419, 1585, 1748, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479049, 3400, 1598, 1749, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479088, 3427, 1605, 1739, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479128, 3410, 1589, 1738, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479167, 3433, 1579, 1717, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479207, 3418, 1595, 1723, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479246, 3411, 1555, 1696, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479286, 3427, 1595, 1704, 79, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479328, 3426, 1576, 1713, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479371, 3427, 1589, 1697, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479414, 3449, 1601, 1688, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479457, 3408, 1572, 1699, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479500, 3425, 1585, 1677, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479543, 3422, 1601, 1718, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479586, 3419, 1566, 1730, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479629, 3440, 1564, 1669, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479672, 3438, 1582, 1654, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479715, 3435, 1598, 1691, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479758, 3451, 1579, 1705, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479794, 3450, 1587, 1700, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479830, 3458, 1543, 1692, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479866, 3437, 1593, 1689, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479902, 3421, 1573, 1699, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479938, 3431, 1583, 1699, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
479974, 3435, 1583, 1711, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480010, 3418, 1584, 1721, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480046, 3445, 1582, 1710, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480082, 3425, 1575, 1693, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480118, 3439, 1607, 1712, 77, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480153, 3459, 1572, 1705, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480188, 3454, 1605, 1680, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480223, 3451, 1578, 1670, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480258, 3441, 1574, 1689, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480293, 3433, 1544, 1711, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480328, 3446, 1576, 1693, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480363, 3428, 1604, 1668, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480398, 3440, 1587, 1652, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480433, 3462, 1574, 1711, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480468, 3446, 1585, 1651, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
480504, 3457, 1645, 1784, 75, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
