261910, 2905, 1046, 2796, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263195, 3113, 936, 2595, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263231, 3114, 898, 2584, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263267, 3136, 929, 2589, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263303, 3124, 923, 2579, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263338, 3134, 941, 2569, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263374, 3104, 907, 2597, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263410, 3118, 927, 2583, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263446, 3110, 927, 2579, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263482, 3130, 933, 2578, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263518, 3130, 935, 2585, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263558, 3126, 938, 2590, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263598, 3139, 923, 2562, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263638, 3160, 924, 2566, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263678, 3117, 925, 2571, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263719, 3139, 945, 2575, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263759, 3152, 957, 2577, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263799, 3111, 950, 2585, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263839, 3089, 958, 2583, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263879, 3150, 976, 2582, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263920, 3133, 985, 2581, 85, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263956, 3127, 936, 2584, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263992, 3121, 953, 2571, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264028, 3101, 962, 2591, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264064, 3104, 967, 2593, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264100, 3116, 931, 2604, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264136, 3131, 951, 2592, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264172, 3105, 971, 2590, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264208, 3129, 988, 2564, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264244, 3141, 965, 2569, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264280, 3129, 977, 2605, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264316, 3088, 974, 2586, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264356, 3116, 980, 2600, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264396, 3106, 976, 2603, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264436, 3114, 961, 2588, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264477, 3104, 971, 2587, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264517, 3118, 989, 2579, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264557, 3110, 957, 2590, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264598, 3100, 933, 2602, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264638, 3104, 961, 2584, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264678, 3106, 976, 2592, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264719, 3091, 992, 2588, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264760, 3092, 992, 2573, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264802, 3112, 968, 2587, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264844, 3095, 962, 2599, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264886, 3091, 987, 2584, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264928, 3104, 967, 2583, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
264970, 3096, 978, 2589, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265012, 3098, 995, 2606, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265054, 3104, 972, 2574, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265096, 3112, 980, 2594, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265138, 3088, 979, 2608, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265173, 3097, 980, 2606, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265208, 3091, 968, 2588, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265243, 3093, 981, 2598, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265279, 3117, 990, 2585, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265314, 3111, 976, 2606, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265349, 3085, 965, 2605, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265384, 3104, 981, 2598, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265420, 3088, 976, 2596, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265455, 3111, 970, 2594, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265490, 3098, 986, 2584, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265526, 3095, 983, 2580, 87, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265570, 3126, 974, 2562, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265614, 3079, 970, 2589, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265658, 3100, 980, 2590, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265702, 3099, 980, 2571, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265746, 3099, 974, 2594, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265790, 3111, 969, 2580, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265834, 3095, 1007, 2596, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265878, 3108, 992, 2572, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265922, 3111, 957, 2577, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
265967, 3110, 982, 2582, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266000, 3099, 994, 2592, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266034, 3097, 1008, 2575, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266068, 3108, 1002, 2579, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266101, 3106, 980, 2587, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266135, 3091, 974, 2571, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266169, 3095, 987, 2588, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266202, 3124, 990, 2579, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266236, 3090, 996, 2582, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266270, 3087, 1006, 2575, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266304, 3104, 982, 2562, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266340, 3097, 991, 2592, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266377, 3092, 1018, 2580, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266414, 3097, 990, 2584, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266451, 3113, 989, 2576, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266488, 3092, 1011, 2586, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266524, 3097, 1019, 2585, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266561, 3108, 1019, 2588, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266598, 3104, 1021, 2587, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266635, 3104, 1010, 2571, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266672, 3106, 999, 2564, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266709, 3088, 1014, 2593, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266751, 3108, 1010, 2588, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266793, 3114, 1018, 2591, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266836, 3121, 991, 2586, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266878, 3110, 1038, 2589, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266921, 3106, 998, 2563, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
266963, 3092, 1018, 2584, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267005, 3093, 1018, 2566, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267048, 3113, 1011, 2573, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267090, 3111, 1027, 2589, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267133, 3129, 1027, 2576, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267166, 3097, 1035, 2559, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267200, 3086, 1018, 2576, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267234, 3106, 1009, 2568, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267267, 3100, 1016, 2583, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267301, 3113, 1035, 2566, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267335, 3106, 1008, 2559, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267369, 3080, 1019, 2559, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267402, 3117, 1025, 2552, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267436, 3088, 1029, 2568, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267470, 3093, 1015, 2566, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267504, 3118, 1023, 2570, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267549, 3108, 1015, 2568, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267594, 3112, 1036, 2561, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267639, 3104, 1027, 2571, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267684, 3108, 1031, 2561, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267729, 3140, 1037, 2553, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267774, 3118, 1036, 2565, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267819, 3100, 1025, 2566, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267864, 3101, 1030, 2561, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267909, 3111, 1023, 2561, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267954, 3103, 1011, 2563, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
267988, 3120, 1002, 2559, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268023, 3103, 1025, 2558, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268058, 3104, 1037, 2557, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268092, 3116, 1028, 2556, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268127, 3110, 1046, 2574, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268162, 3121, 1053, 2546, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268196, 3113, 1043, 2569, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268231, 3114, 1050, 2529, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268266, 3101, 1043, 2558, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268301, 3128, 1041, 2544, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268339, 3114, 1063, 2540, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268377, 3125, 1055, 2543, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268415, 3118, 1033, 2546, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268454, 3100, 1042, 2529, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268492, 3105, 1052, 2544, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268530, 3102, 1053, 2538, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268568, 3113, 1048, 2564, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268607, 3099, 1043, 2554, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268645, 3120, 1038, 2548, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268683, 3107, 1057, 2537, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268722, 3097, 1049, 2552, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268764, 3102, 1050, 2546, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268806, 3115, 1049, 2549, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268848, 3132, 1051, 2558, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268891, 3115, 1055, 2529, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268933, 3101, 1035, 2530, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
268975, 3131, 1061, 2564, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269018, 3075, 1058, 2549, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269060, 3112, 1063, 2538, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269102, 3105, 1069, 2542, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269145, 3111, 1064, 2547, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269178, 3097, 1044, 2554, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269212, 3126, 1070, 2543, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269246, 3114, 1053, 2549, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269279, 3103, 1065, 2562, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269313, 3119, 1038, 2547, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269347, 3095, 1044, 2558, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269381, 3101, 1058, 2533, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269414, 3099, 1056, 2544, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269448, 3101, 1040, 2550, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269482, 3106, 1054, 2547, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269516, 3105, 1055, 2546, 89, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269554, 3115, 1037, 2554, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269593, 3095, 1049, 2568, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269632, 3112, 1062, 2541, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269671, 3100, 1059, 2534, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269710, 3110, 1051, 2532, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269749, 3135, 1053, 2547, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269788, 3135, 1021, 2543, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269827, 3108, 1062, 2548, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269866, 3128, 1060, 2547, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269905, 3096, 1009, 2556, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269947, 3111, 1058, 2549, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
269990, 3116, 1053, 2533, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
270033, 3101, 1061, 2538, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
270076, 3121, 1024, 2554, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
270119, 3115, 1032, 2516, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
270161, 3129, 1012, 2503, 88, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
