222338, 3004, 2423, 1498, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223377, 2940, 2564, 1370, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223415, 2943, 2580, 1370, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223454, 2957, 2559, 1348, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223492, 2940, 2563, 1358, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223531, 2936, 2570, 1353, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223570, 2954, 2579, 1345, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223610, 2968, 2582, 1365, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223651, 2953, 2568, 1353, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223691, 2954, 2589, 1343, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223732, 2941, 2588, 1355, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223772, 2929, 2573, 1366, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223813, 2968, 2581, 1335, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223853, 2948, 2558, 1347, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223894, 2928, 2585, 1357, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223934, 2928, 2584, 1347, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223975, 2958, 2601, 1344, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224012, 2932, 2592, 1326, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224050, 2927, 2599, 1315, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224088, 2933, 2595, 1343, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224126, 2937, 2593, 1354, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224164, 2961, 2596, 1349, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224201, 2929, 2567, 1324, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224239, 2943, 2584, 1377, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
224277, 2941, 2452, 1288, 97, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
