308366, 3524, 2144, 518, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309999, 3472, 2267, 450, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310040, 3439, 2255, 427, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310081, 3455, 2225, 435, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310121, 3438, 2244, 434, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310162, 3426, 2230, 425, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310203, 3455, 2232, 438, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310244, 3437, 2242, 437, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310284, 3434, 2254, 442, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310325, 3453, 2232, 434, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310366, 3435, 2250, 442, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310407, 3447, 2247, 436, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310448, 3446, 2235, 468, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310486, 3432, 2222, 439, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310524, 3440, 2248, 465, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310562, 3432, 2266, 465, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310600, 3476, 2238, 450, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310638, 3419, 2247, 435, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310676, 3440, 2267, 443, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310715, 3451, 2277, 445, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310753, 3430, 2252, 437, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310791, 3426, 2251, 449, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310829, 3423, 2256, 449, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310867, 3430, 2267, 453, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310905, 3430, 2245, 445, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310944, 3421, 2220, 445, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
310982, 3431, 2210, 432, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311021, 3407, 2257, 470, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311059, 3441, 2234, 462, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311098, 3433, 2262, 465, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311136, 3444, 2267, 465, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311175, 3437, 2261, 447, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311213, 3409, 2229, 462, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311252, 3412, 2267, 478, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311290, 3513, 2192, 517, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311329, 3430, 2288, 424, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311367, 3433, 2322, 460, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311406, 3404, 2374, 444, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311445, 3318, 2438, 432, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311482, 3320, 2451, 445, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311519, 3296, 2435, 427, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311557, 3296, 2453, 466, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311594, 3315, 2492, 452, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311632, 3326, 2440, 481, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311669, 3293, 2445, 511, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311707, 3284, 2445, 531, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311744, 3282, 2438, 546, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311782, 3308, 2441, 601, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311819, 3267, 2457, 606, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311857, 3269, 2437, 605, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311894, 3276, 2416, 574, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311932, 3293, 2410, 571, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
311970, 3290, 2442, 573, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312009, 3304, 2480, 586, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312047, 3303, 2458, 534, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312086, 3266, 2440, 560, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312125, 3294, 2469, 558, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312163, 3315, 2457, 536, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312202, 3282, 2463, 563, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312240, 3285, 2448, 558, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312279, 3289, 2452, 564, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312318, 3317, 2441, 565, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312356, 3296, 2446, 547, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312395, 3307, 2456, 560, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312434, 3298, 2453, 581, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312471, 3271, 2442, 577, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312508, 3297, 2443, 588, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312545, 3290, 2465, 593, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312582, 3283, 2429, 565, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312619, 3274, 2453, 565, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312656, 3284, 2445, 552, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312693, 3284, 2444, 588, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312730, 3285, 2438, 580, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312767, 3289, 2457, 559, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312804, 3298, 2458, 582, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312841, 3291, 2451, 574, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312878, 3275, 2438, 536, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312916, 3272, 2449, 556, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312957, 3274, 2456, 547, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
312998, 3287, 2442, 577, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313039, 3280, 2461, 561, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313081, 3279, 2448, 543, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313122, 3306, 2476, 570, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313163, 3294, 2473, 536, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313204, 3286, 2453, 545, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313246, 3303, 2464, 561, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313287, 3287, 2452, 560, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313328, 3286, 2447, 525, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313369, 3287, 2427, 533, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313411, 3251, 2454, 540, 100, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313450, 3297, 2442, 534, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313490, 3276, 2436, 537, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313530, 3273, 2468, 531, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313569, 3288, 2472, 555, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313609, 3302, 2399, 497, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313649, 3298, 2493, 542, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313688, 3306, 2443, 499, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313728, 3292, 2516, 459, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
313768, 3369, 2444, 463, 99, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
