346235, 3036, 688, 2753, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348147, 3222, 973, 2399, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348188, 3233, 981, 2410, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348229, 3228, 973, 2422, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348270, 3232, 962, 2408, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348311, 3220, 965, 2407, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348352, 3255, 964, 2415, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348393, 3233, 977, 2426, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348434, 3238, 1005, 2420, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348470, 3242, 992, 2417, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348506, 3212, 974, 2421, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348543, 3229, 977, 2413, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348579, 3214, 954, 2408, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348616, 3249, 972, 2407, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348652, 3253, 999, 2416, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348689, 3214, 986, 2413, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348725, 3233, 980, 2401, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348762, 3260, 997, 2424, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348798, 3227, 987, 2409, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348835, 3232, 986, 2408, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348875, 3228, 994, 2419, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348916, 3233, 1007, 2407, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348956, 3245, 1009, 2410, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348997, 3242, 973, 2387, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349037, 3227, 1003, 2398, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349078, 3257, 976, 2418, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349118, 3264, 987, 2404, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349159, 3247, 991, 2400, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349199, 3258, 969, 2412, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349240, 3264, 1019, 2391, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349273, 3252, 993, 2372, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349307, 3252, 997, 2378, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349340, 3245, 1005, 2395, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349374, 3272, 986, 2393, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349407, 3246, 992, 2388, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349441, 3259, 990, 2398, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349474, 3256, 996, 2387, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349508, 3259, 966, 2384, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349541, 3246, 985, 2390, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349575, 3254, 990, 2388, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349609, 3243, 982, 2375, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349649, 3251, 988, 2389, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349690, 3252, 1017, 2383, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349731, 3263, 983, 2398, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349772, 3247, 984, 2374, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349813, 3248, 987, 2380, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349853, 3243, 993, 2376, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349894, 3258, 993, 2387, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349935, 3240, 994, 2379, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
349976, 3245, 996, 2358, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350017, 3250, 980, 2367, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350057, 3266, 988, 2344, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350098, 3271, 997, 2371, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350138, 3275, 1008, 2345, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350179, 3267, 988, 2344, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350219, 3281, 1023, 2350, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350260, 3279, 1007, 2344, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350300, 3268, 1002, 2346, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350341, 3299, 986, 2333, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350381, 3299, 960, 2305, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350422, 3313, 941, 2310, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350459, 3304, 947, 2324, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350496, 3329, 890, 2300, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
350534, 3316, 845, 2333, 94, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
