325166, 3009, 1176, 2580, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327322, 3014, 1111, 2586, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327363, 3035, 1141, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327403, 3026, 1151, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327444, 3012, 1141, 2614, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327484, 3044, 1163, 2615, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327525, 3022, 1136, 2603, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327566, 3035, 1159, 2611, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327607, 3006, 1162, 2585, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327648, 3014, 1143, 2578, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327689, 3033, 1145, 2599, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327730, 3038, 1119, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327771, 3024, 1153, 2585, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327812, 3021, 1150, 2610, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327853, 3045, 1139, 2603, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327894, 3031, 1152, 2616, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327935, 3046, 1173, 2607, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327972, 3021, 1156, 2609, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328009, 3019, 1135, 2607, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328046, 3034, 1149, 2598, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328083, 3024, 1174, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328120, 3039, 1153, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328158, 3008, 1138, 2602, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328195, 3043, 1149, 2604, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328232, 3015, 1180, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328269, 3038, 1166, 2617, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328306, 3024, 1150, 2604, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328344, 3025, 1167, 2588, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328382, 3034, 1161, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328420, 3029, 1144, 2614, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328458, 3028, 1162, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328496, 3026, 1154, 2588, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328534, 3026, 1176, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328572, 3035, 1163, 2602, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328610, 3011, 1147, 2578, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328648, 3016, 1157, 2589, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328686, 3025, 1168, 2604, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328725, 3028, 1168, 2597, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328759, 3041, 1160, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328794, 3002, 1154, 2589, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328829, 3037, 1175, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328864, 3025, 1153, 2594, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328899, 3019, 1152, 2593, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328934, 3037, 1151, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
328969, 3039, 1177, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329004, 3033, 1158, 2582, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329039, 3043, 1165, 2578, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329074, 3040, 1171, 2575, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329109, 3041, 1161, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329150, 3042, 1175, 2598, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329191, 3038, 1164, 2600, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329232, 3037, 1154, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329273, 3024, 1183, 2582, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329314, 3037, 1171, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329355, 3039, 1142, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329396, 3045, 1164, 2594, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329437, 3032, 1153, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329478, 3036, 1159, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329519, 3036, 1160, 2602, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329562, 3046, 1144, 2600, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329605, 3029, 1145, 2577, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329648, 3022, 1145, 2595, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329691, 3016, 1151, 2602, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329734, 3030, 1146, 2597, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329777, 3048, 1168, 2593, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329820, 3037, 1153, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329863, 3032, 1141, 2598, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329906, 3031, 1157, 2579, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329950, 3045, 1146, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
329984, 3043, 1151, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330019, 3007, 1179, 2596, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330054, 3061, 1152, 2585, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330089, 3009, 1173, 2579, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330124, 3018, 1156, 2603, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330158, 3014, 1157, 2599, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330193, 3014, 1127, 2595, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330228, 2989, 1204, 2597, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330263, 3033, 1147, 2608, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330298, 3041, 1138, 2591, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330333, 3026, 1150, 2599, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330373, 3030, 1144, 2609, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330414, 3005, 1149, 2589, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330454, 3031, 1153, 2577, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330495, 3027, 1152, 2612, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330535, 3040, 1161, 2607, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330576, 3020, 1149, 2617, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330616, 3041, 1149, 2576, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330657, 3018, 1148, 2623, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330697, 3044, 1167, 2588, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330738, 3066, 1151, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330773, 3032, 1151, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330808, 3019, 1181, 2593, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330843, 3047, 1156, 2575, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330879, 3002, 1151, 2600, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330914, 3013, 1171, 2612, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330949, 3032, 1157, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
330984, 3030, 1174, 2588, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331020, 3021, 1168, 2583, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331055, 3014, 1147, 2607, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331090, 3003, 1148, 2599, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331126, 3019, 1155, 2587, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331166, 3004, 1194, 2584, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331207, 3037, 1160, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331248, 3031, 1149, 2584, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331289, 3025, 1156, 2570, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331330, 3032, 1147, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331371, 3033, 1166, 2599, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331412, 3025, 1170, 2581, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331453, 3046, 1144, 2577, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331494, 3035, 1169, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331535, 3040, 1148, 2580, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331575, 3052, 1156, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331615, 3047, 1137, 2585, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331655, 3031, 1155, 2600, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331695, 3025, 1160, 2593, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331735, 3034, 1167, 2597, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331775, 3029, 1180, 2602, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331815, 3029, 1166, 2584, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331855, 3054, 1172, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331895, 3042, 1155, 2595, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331936, 3038, 1143, 2584, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
331971, 3033, 1175, 2571, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332006, 3050, 1177, 2592, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332042, 3050, 1143, 2579, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332077, 3032, 1178, 2601, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332112, 3044, 1148, 2590, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332148, 3063, 1150, 2595, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332183, 3037, 1174, 2589, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332218, 3031, 1151, 2577, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332254, 3063, 1152, 2565, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332289, 3042, 1161, 2598, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332325, 3046, 1169, 2577, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332371, 3040, 1165, 2588, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332417, 3041, 1167, 2594, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332464, 3047, 1147, 2577, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332510, 3043, 1163, 2560, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332557, 3044, 1162, 2589, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332603, 3058, 1158, 2573, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332649, 3037, 1149, 2577, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332696, 3034, 1180, 2590, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332742, 3051, 1184, 2589, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332789, 3032, 1171, 2600, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332820, 3052, 1167, 2584, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332852, 3064, 1160, 2559, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332883, 3031, 1180, 2570, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332915, 3062, 1153, 2581, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332947, 3062, 1184, 2561, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
332978, 3054, 1171, 2571, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333010, 3027, 1165, 2573, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333042, 3047, 1161, 2581, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333073, 3050, 1149, 2579, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333105, 3031, 1164, 2577, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333137, 3053, 1189, 2567, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333177, 3045, 1175, 2576, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333218, 3055, 1168, 2575, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333258, 3029, 1160, 2586, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333299, 3019, 1184, 2587, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333339, 3050, 1162, 2583, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333380, 3040, 1183, 2588, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333420, 3036, 1200, 2575, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333461, 3037, 1161, 2592, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333501, 3025, 1186, 2591, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333542, 3060, 1154, 2577, 91, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333581, 3036, 1148, 2566, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333620, 3062, 1179, 2558, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333659, 3042, 1160, 2578, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333698, 3031, 1144, 2589, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333738, 3025, 1142, 2602, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333777, 3044, 1153, 2578, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333816, 3033, 1150, 2583, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333855, 3031, 1145, 2591, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333894, 3031, 1157, 2579, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333934, 3030, 1166, 2580, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
333970, 3031, 1161, 2589, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334007, 3045, 1169, 2585, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334044, 3034, 1175, 2582, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334081, 3021, 1161, 2591, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334118, 3037, 1168, 2589, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334154, 3053, 1155, 2585, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334191, 3041, 1171, 2568, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334228, 3038, 1151, 2593, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334265, 3041, 1188, 2570, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334302, 3046, 1182, 2575, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334339, 3056, 1151, 2580, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334377, 3064, 1163, 2564, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334416, 3025, 1158, 2585, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334454, 3077, 1168, 2569, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334493, 3025, 1180, 2581, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
334532, 3029, 1174, 2598, 87, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
