163856, 2741, 1126, 2906, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168007, 2810, 1050, 2898, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168046, 2797, 1057, 2900, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168085, 2796, 1053, 2892, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168124, 2796, 1063, 2884, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168162, 2802, 1050, 2895, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168201, 2810, 1084, 2901, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168240, 2794, 1037, 2888, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168279, 2779, 1053, 2902, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168318, 2797, 1041, 2901, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168354, 2794, 1041, 2900, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168390, 2826, 1040, 2899, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168426, 2806, 1032, 2892, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168462, 2813, 1024, 2884, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168498, 2813, 1064, 2897, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168535, 2809, 1038, 2870, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168571, 2803, 1031, 2877, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168607, 2813, 1048, 2872, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168643, 2807, 1047, 2877, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168679, 2792, 1057, 2878, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168716, 2799, 1062, 2879, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168756, 2826, 1053, 2870, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168796, 2814, 1052, 2880, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168837, 2802, 1063, 2878, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168877, 2815, 1065, 2881, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168918, 2807, 1034, 2858, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168958, 2817, 1059, 2871, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
168998, 2817, 1057, 2888, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169039, 2805, 1057, 2887, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169079, 2810, 1049, 2881, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169120, 2805, 1052, 2892, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169157, 2805, 1038, 2878, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169195, 2821, 1054, 2875, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169232, 2823, 1053, 2866, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169270, 2808, 1045, 2880, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169307, 2807, 1035, 2854, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169345, 2801, 1059, 2876, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169382, 2818, 1053, 2870, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169420, 2804, 1032, 2866, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169457, 2809, 1051, 2880, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169495, 2813, 1037, 2870, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169533, 2804, 1064, 2865, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169571, 2824, 1057, 2875, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169609, 2806, 1051, 2868, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169647, 2808, 1064, 2854, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169685, 2802, 1059, 2883, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169724, 2810, 1050, 2876, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
169762, 2803, 1016, 2873, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
