140654, 1662, 1341, 3576, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142065, 1709, 1260, 3580, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142101, 1702, 1281, 3569, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142138, 1708, 1272, 3568, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142175, 1687, 1273, 3577, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142213, 1684, 1269, 3573, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142251, 1676, 1289, 3577, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142289, 1661, 1288, 3578, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142327, 1663, 1277, 3575, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142366, 1668, 1272, 3576, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142404, 1668, 1284, 3582, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142442, 1681, 1287, 3586, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142480, 1664, 1281, 3572, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142518, 1665, 1260, 3589, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142557, 1650, 1272, 3581, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142597, 1690, 1267, 3592, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142638, 1672, 1274, 3563, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142679, 1680, 1246, 3593, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142720, 1676, 1272, 3578, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142761, 1682, 1298, 3595, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142802, 1705, 1269, 3593, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142843, 1668, 1263, 3584, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142884, 1690, 1273, 3577, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142925, 1697, 1251, 3578, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142966, 1687, 1270, 3602, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143007, 1701, 1267, 3566, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143043, 1681, 1254, 3582, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143080, 1689, 1261, 3570, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143117, 1686, 1278, 3574, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143154, 1711, 1249, 3577, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143191, 1705, 1254, 3577, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143228, 1697, 1260, 3564, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143265, 1677, 1270, 3581, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143302, 1695, 1265, 3578, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143339, 1707, 1265, 3575, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143376, 1693, 1235, 3566, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143412, 1700, 1241, 3558, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143448, 1670, 1275, 3588, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143484, 1686, 1258, 3586, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143520, 1691, 1236, 3574, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143556, 1718, 1226, 3560, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143592, 1663, 1236, 3588, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143628, 1739, 1168, 3599, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
143664, 1740, 1155, 3585, 100, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
