377436, 3406, 1477, 1873, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378234, 3381, 1477, 1934, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378266, 3363, 1485, 1963, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378298, 3343, 1471, 1934, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378330, 3321, 1525, 1961, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378362, 3359, 1465, 1948, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378394, 3333, 1506, 1954, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378426, 3321, 1480, 1972, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378458, 3336, 1512, 1949, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378490, 3334, 1478, 1946, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378522, 3333, 1522, 1967, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378558, 3348, 1485, 1945, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378595, 3329, 1517, 1937, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378631, 3340, 1503, 1959, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378668, 3342, 1521, 1926, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378704, 3358, 1509, 1929, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378741, 3336, 1513, 1940, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378777, 3335, 1509, 1922, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378814, 3359, 1510, 1937, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378850, 3320, 1526, 1933, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378887, 3358, 1486, 1937, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378927, 3374, 1469, 1932, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378968, 3337, 1481, 1939, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379008, 3352, 1514, 1920, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379049, 3338, 1498, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379090, 3351, 1521, 1928, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379130, 3367, 1545, 1931, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379171, 3352, 1492, 1917, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379211, 3338, 1510, 1942, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379252, 3378, 1489, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379293, 3356, 1502, 1932, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379333, 3364, 1510, 1942, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379374, 3362, 1527, 1928, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379415, 3363, 1518, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379456, 3378, 1485, 1911, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379497, 3371, 1513, 1918, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379537, 3363, 1498, 1907, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379578, 3362, 1510, 1917, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379619, 3369, 1496, 1905, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379660, 3351, 1491, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379701, 3371, 1515, 1924, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379742, 3342, 1508, 1924, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379778, 3354, 1520, 1936, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379815, 3355, 1508, 1904, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379852, 3352, 1522, 1937, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379888, 3357, 1501, 1909, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379925, 3377, 1498, 1943, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379962, 3365, 1506, 1922, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
379998, 3375, 1512, 1915, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380035, 3378, 1478, 1931, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380072, 3354, 1482, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380109, 3366, 1509, 1922, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380146, 3375, 1497, 1925, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380184, 3363, 1522, 1924, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380221, 3347, 1499, 1908, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380259, 3367, 1475, 1909, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380297, 3362, 1496, 1916, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380334, 3374, 1501, 1942, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380372, 3350, 1497, 1917, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380410, 3373, 1509, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380447, 3367, 1505, 1913, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380485, 3362, 1492, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380523, 3344, 1500, 1916, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380561, 3364, 1490, 1925, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380599, 3357, 1474, 1930, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380637, 3339, 1479, 1926, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380675, 3367, 1513, 1933, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380713, 3370, 1480, 1922, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380751, 3353, 1480, 1934, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380789, 3360, 1487, 1929, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380827, 3373, 1492, 1926, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380865, 3349, 1479, 1916, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380903, 3377, 1485, 1935, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380943, 3361, 1494, 1903, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
380984, 3357, 1501, 1925, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381025, 3389, 1514, 1923, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381065, 3367, 1480, 1917, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381106, 3370, 1492, 1920, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381147, 3360, 1502, 1950, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381187, 3377, 1482, 1932, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381228, 3354, 1486, 1936, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381269, 3348, 1492, 1945, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381310, 3358, 1493, 1938, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381347, 3349, 1493, 1947, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381384, 3370, 1509, 1968, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381421, 3344, 1517, 1928, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381458, 3345, 1526, 1946, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381495, 3342, 1513, 1952, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381532, 3336, 1501, 1929, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381569, 3346, 1529, 1958, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381606, 3343, 1482, 1963, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381643, 3345, 1510, 1956, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381680, 3348, 1515, 1956, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381718, 3324, 1509, 1926, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381757, 3339, 1499, 1948, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381796, 3345, 1475, 1950, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381835, 3350, 1507, 1953, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381874, 3331, 1481, 1937, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381913, 3327, 1508, 1949, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381952, 3358, 1488, 1950, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
381991, 3352, 1499, 1967, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382030, 3360, 1524, 1956, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382069, 3339, 1492, 1933, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382108, 3342, 1518, 1951, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382144, 3331, 1501, 1935, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382180, 3342, 1494, 1954, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382216, 3332, 1530, 1927, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382253, 3372, 1521, 1938, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382289, 3354, 1505, 1943, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382325, 3337, 1516, 1952, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382361, 3318, 1553, 1913, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382398, 3337, 1531, 1978, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382434, 3351, 1517, 1890, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382470, 3282, 1650, 1928, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382507, 3372, 1482, 1919, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382548, 3323, 1583, 1912, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382589, 3380, 1497, 1884, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382630, 3342, 1572, 1926, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382671, 3362, 1538, 1898, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382712, 3366, 1549, 1885, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382753, 3350, 1580, 1882, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382794, 3355, 1532, 1881, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382835, 3364, 1567, 1908, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382876, 3366, 1461, 1863, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382918, 3305, 1528, 1941, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
382958, 3340, 1459, 1971, 68, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
