62232, 3575, 1086, 1837, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62998, 3691, 1034, 1602, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63039, 3654, 1016, 1590, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63074, 3683, 1075, 1566, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63110, 3725, 1043, 1514, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63145, 3707, 1063, 1522, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63181, 3716, 1033, 1531, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63216, 3724, 985, 1541, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63252, 3753, 951, 1492, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63287, 3747, 952, 1482, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63323, 3776, 897, 1443, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63358, 3755, 964, 1476, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63394, 3761, 1012, 1467, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63430, 3750, 1000, 1459, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63470, 3785, 950, 1421, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63511, 3783, 940, 1426, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63551, 3788, 965, 1409, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63592, 3803, 941, 1384, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63633, 3779, 991, 1415, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63673, 3810, 971, 1404, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63714, 3782, 944, 1390, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63754, 3782, 961, 1414, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63795, 3795, 914, 1411, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63836, 3786, 962, 1412, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63872, 3777, 935, 1409, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63909, 3791, 931, 1413, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63946, 3791, 970, 1398, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
63982, 3801, 945, 1405, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64019, 3786, 930, 1377, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64056, 3798, 961, 1395, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64093, 3794, 916, 1402, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64129, 3804, 968, 1372, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64166, 3777, 969, 1442, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64203, 3793, 893, 1374, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
64240, 3813, 905, 1408, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
