143563, 3102, 2313, 1403, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145034, 3214, 2311, 1182, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145072, 3222, 2319, 1176, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145111, 3181, 2331, 1193, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145150, 3212, 2322, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145189, 3183, 2317, 1172, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145228, 3239, 2299, 1198, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145267, 3221, 2332, 1157, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145304, 3222, 2331, 1175, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145342, 3238, 2313, 1168, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145379, 3221, 2309, 1179, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145417, 3216, 2292, 1170, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145454, 3223, 2289, 1172, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145492, 3238, 2322, 1146, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145529, 3225, 2318, 1156, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145567, 3220, 2321, 1171, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145604, 3227, 2301, 1177, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145642, 3233, 2288, 1201, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145678, 3215, 2313, 1176, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145714, 3217, 2278, 1180, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145750, 3223, 2324, 1198, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145786, 3231, 2316, 1172, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145822, 3232, 2314, 1157, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145859, 3234, 2297, 1163, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145895, 3233, 2302, 1185, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145931, 3229, 2299, 1157, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
145967, 3222, 2301, 1179, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146003, 3231, 2309, 1167, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146040, 3250, 2307, 1143, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146081, 3230, 2300, 1163, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146122, 3225, 2327, 1161, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146163, 3239, 2328, 1168, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146204, 3226, 2291, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146245, 3226, 2312, 1161, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146286, 3209, 2294, 1155, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146327, 3219, 2312, 1151, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146368, 3232, 2318, 1176, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146409, 3226, 2286, 1170, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146451, 3225, 2308, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146489, 3225, 2313, 1150, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146527, 3236, 2318, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146565, 3238, 2290, 1154, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146604, 3219, 2320, 1152, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146642, 3231, 2314, 1128, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146680, 3223, 2318, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146719, 3219, 2312, 1174, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146757, 3235, 2306, 1146, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146795, 3239, 2319, 1162, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146834, 3232, 2314, 1168, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146873, 3255, 2286, 1161, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146913, 3219, 2329, 1155, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146952, 3237, 2318, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
146992, 3215, 2319, 1151, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147032, 3210, 2353, 1160, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147071, 3237, 2315, 1159, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147111, 3233, 2334, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147151, 3239, 2322, 1133, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147190, 3223, 2358, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147230, 3247, 2303, 1148, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147270, 3192, 2299, 1150, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147306, 3224, 2311, 1156, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147342, 3222, 2316, 1157, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147378, 3223, 2313, 1161, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147414, 3224, 2307, 1160, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147450, 3226, 2298, 1166, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147486, 3218, 2320, 1155, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147522, 3230, 2296, 1146, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147558, 3229, 2312, 1152, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147594, 3228, 2322, 1173, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147630, 3217, 2309, 1139, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147666, 3219, 2315, 1164, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147703, 3223, 2305, 1151, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147740, 3243, 2332, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147777, 3243, 2302, 1124, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147814, 3240, 2316, 1149, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147850, 3236, 2318, 1162, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147887, 3229, 2283, 1154, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147924, 3230, 2308, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147961, 3216, 2307, 1148, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
147998, 3235, 2337, 1151, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148035, 3229, 2293, 1143, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148076, 3229, 2325, 1134, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148117, 3256, 2258, 1144, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148158, 3208, 2290, 1147, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148200, 3227, 2320, 1160, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148241, 3229, 2313, 1158, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148282, 3242, 2332, 1155, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148324, 3229, 2301, 1148, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148365, 3225, 2305, 1138, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148406, 3224, 2307, 1165, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148448, 3234, 2292, 1130, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
148486, 3258, 2313, 1129, 74, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
