122721, 2916, 2638, 1387, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124151, 3062, 2477, 1309, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124187, 3036, 2480, 1294, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124223, 3037, 2500, 1331, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124259, 3035, 2493, 1274, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124295, 3063, 2452, 1301, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124331, 3061, 2499, 1277, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124367, 3051, 2496, 1263, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124403, 3065, 2478, 1263, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124439, 3044, 2485, 1287, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124476, 3062, 2474, 1298, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124513, 3034, 2491, 1261, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124550, 3044, 2480, 1274, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124587, 3062, 2493, 1254, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124624, 3054, 2484, 1262, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124661, 3030, 2486, 1283, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124698, 3053, 2501, 1271, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124735, 3066, 2477, 1270, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124772, 3058, 2511, 1264, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124809, 3063, 2495, 1261, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124846, 3061, 2461, 1285, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124884, 3060, 2490, 1261, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124923, 3069, 2464, 1245, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124962, 3065, 2495, 1218, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125001, 3054, 2495, 1237, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125040, 3058, 2468, 1265, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125078, 3052, 2460, 1284, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125117, 3056, 2486, 1274, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125156, 3065, 2481, 1273, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125195, 3056, 2484, 1267, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125234, 3059, 2494, 1256, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125271, 3070, 2473, 1270, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125308, 3037, 2474, 1253, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125345, 3045, 2435, 1266, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125382, 3076, 2477, 1241, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125419, 3060, 2526, 1223, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125456, 3050, 2469, 1294, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125493, 3030, 2468, 1315, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125530, 3058, 2466, 1338, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125567, 3052, 2489, 1309, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125604, 3068, 2453, 1303, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125641, 3048, 2458, 1282, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125685, 3069, 2464, 1284, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125730, 3046, 2481, 1272, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125775, 3053, 2477, 1281, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125820, 3054, 2453, 1283, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125865, 3063, 2465, 1296, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125910, 3038, 2482, 1286, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
125955, 3059, 2473, 1296, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126000, 3036, 2491, 1278, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126045, 3049, 2459, 1265, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126090, 3058, 2502, 1294, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126126, 3067, 2466, 1273, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126162, 3025, 2494, 1287, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126199, 3044, 2507, 1281, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126235, 3042, 2497, 1288, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126272, 3054, 2488, 1287, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126308, 3027, 2474, 1270, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126344, 3065, 2477, 1274, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126381, 3035, 2500, 1283, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126417, 3017, 2495, 1273, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126454, 3052, 2478, 1296, 88, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126489, 3023, 2527, 1240, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126524, 3048, 2476, 1274, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126559, 3025, 2507, 1233, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126594, 3065, 2434, 1302, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126629, 3040, 2484, 1251, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126664, 3008, 2510, 1242, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
126699, 3069, 2439, 1268, 85, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
