262224, 2804, 1388, 2812, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262892, 2792, 1401, 2742, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262932, 2772, 1397, 2743, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262973, 2768, 1424, 2731, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263014, 2754, 1443, 2753, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263054, 2805, 1408, 2764, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263095, 2765, 1436, 2735, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263136, 2768, 1383, 2745, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263176, 2758, 1392, 2740, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263217, 2769, 1414, 2731, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263258, 2795, 1418, 2749, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263293, 2782, 1401, 2745, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263328, 2776, 1410, 2736, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263364, 2777, 1419, 2735, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263399, 2774, 1414, 2733, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263435, 2806, 1402, 2729, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263470, 2792, 1418, 2713, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263505, 2798, 1435, 2735, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263541, 2769, 1422, 2721, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263576, 2795, 1449, 2712, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263612, 2809, 1450, 2718, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263646, 2785, 1430, 2727, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263681, 2807, 1435, 2730, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263716, 2780, 1443, 2721, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263750, 2796, 1444, 2722, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263785, 2780, 1472, 2698, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263820, 2791, 1487, 2719, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263855, 2791, 1475, 2710, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263889, 2803, 1478, 2708, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263924, 2822, 1442, 2727, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263959, 2789, 1478, 2715, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
263994, 2787, 1458, 2710, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264037, 2800, 1453, 2709, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264080, 2790, 1446, 2713, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264123, 2809, 1441, 2707, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264167, 2820, 1437, 2714, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264210, 2795, 1432, 2715, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264253, 2787, 1452, 2716, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264297, 2830, 1414, 2718, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264340, 2796, 1418, 2705, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264383, 2813, 1420, 2722, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264427, 2806, 1389, 2726, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264460, 2804, 1406, 2720, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264493, 2795, 1416, 2709, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264527, 2806, 1418, 2721, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264560, 2818, 1420, 2731, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264594, 2779, 1403, 2731, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264627, 2809, 1427, 2725, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264661, 2805, 1408, 2718, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264694, 2841, 1368, 2720, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264728, 2811, 1406, 2713, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264761, 2824, 1387, 2717, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264795, 2793, 1393, 2725, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264838, 2793, 1402, 2735, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264881, 2800, 1399, 2735, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264924, 2831, 1399, 2714, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
264967, 2829, 1413, 2741, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265011, 2795, 1391, 2727, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265054, 2823, 1393, 2731, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265097, 2797, 1384, 2724, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265140, 2791, 1400, 2728, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265183, 2812, 1384, 2721, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265227, 2815, 1379, 2730, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265262, 2792, 1392, 2728, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265298, 2836, 1377, 2721, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265334, 2816, 1394, 2723, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265370, 2811, 1382, 2720, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265406, 2788, 1408, 2741, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265442, 2792, 1391, 2724, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265478, 2802, 1400, 2709, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265514, 2822, 1418, 2716, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265550, 2806, 1369, 2724, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265586, 2811, 1380, 2721, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265626, 2823, 1392, 2719, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265666, 2821, 1404, 2718, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265706, 2822, 1400, 2750, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265747, 2807, 1393, 2733, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265787, 2802, 1392, 2731, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265827, 2817, 1393, 2738, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265867, 2818, 1418, 2712, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265908, 2811, 1378, 2729, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265948, 2810, 1398, 2719, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
265988, 2809, 1385, 2723, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266029, 2818, 1399, 2723, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266067, 2811, 1404, 2722, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266106, 2813, 1390, 2720, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266145, 2805, 1400, 2712, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266184, 2810, 1390, 2718, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266223, 2823, 1390, 2712, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266261, 2808, 1401, 2717, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266300, 2813, 1408, 2731, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266339, 2808, 1398, 2735, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266378, 2812, 1395, 2717, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266417, 2829, 1404, 2703, 97, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266455, 2812, 1380, 2714, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266494, 2811, 1387, 2723, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266532, 2828, 1403, 2722, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266571, 2825, 1378, 2708, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266609, 2814, 1408, 2711, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266648, 2807, 1394, 2729, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266686, 2816, 1398, 2722, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266725, 2822, 1398, 2709, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266763, 2834, 1381, 2721, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266802, 2817, 1377, 2709, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266841, 2843, 1379, 2708, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266878, 2850, 1367, 2712, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266915, 2826, 1397, 2716, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266952, 2843, 1408, 2713, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
266989, 2821, 1379, 2724, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
267027, 2819, 1373, 2751, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
267064, 2834, 1394, 2725, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
267101, 2772, 1439, 2712, 96, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
