72798, 1940, 1362, 3340, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74193, 2216, 1351, 3238, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74231, 2245, 1323, 3215, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74269, 2252, 1346, 3199, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74307, 2216, 1382, 3239, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74345, 2221, 1394, 3233, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74383, 2232, 1342, 3248, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74421, 2270, 1286, 3252, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74459, 2281, 1326, 3240, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74497, 2242, 1281, 3227, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74536, 2251, 1288, 3259, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74573, 2251, 1306, 3235, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74610, 2245, 1310, 3232, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74647, 2225, 1291, 3258, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74684, 2226, 1318, 3245, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74722, 2211, 1318, 3249, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74759, 2251, 1325, 3256, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74796, 2245, 1319, 3245, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74833, 2207, 1305, 3270, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74870, 2218, 1331, 3257, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74908, 2211, 1328, 3267, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74948, 2187, 1334, 3266, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74989, 2203, 1311, 3282, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75030, 2208, 1329, 3259, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75071, 2209, 1327, 3261, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75112, 2197, 1299, 3276, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75152, 2209, 1319, 3291, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75193, 2221, 1297, 3279, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75234, 2201, 1314, 3274, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75275, 2188, 1289, 3273, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75316, 2157, 1294, 3286, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75352, 2169, 1343, 3297, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75389, 2199, 1314, 3280, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75425, 2147, 1285, 3293, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75462, 2169, 1249, 3305, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75499, 2159, 1283, 3310, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75535, 2157, 1276, 3317, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75572, 2175, 1273, 3309, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75609, 2169, 1255, 3332, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75645, 2173, 1256, 3316, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75682, 2140, 1271, 3320, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75719, 2148, 1287, 3306, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75757, 2141, 1299, 3317, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75796, 2153, 1275, 3310, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75835, 2137, 1317, 3310, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75874, 2150, 1288, 3319, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75913, 2143, 1276, 3309, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75952, 2163, 1299, 3307, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
75991, 2166, 1296, 3318, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76030, 2143, 1277, 3319, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76069, 2149, 1309, 3312, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76108, 2157, 1301, 3309, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76148, 2135, 1296, 3310, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76188, 2135, 1306, 3329, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76229, 2122, 1307, 3325, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76269, 2148, 1276, 3312, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76309, 2132, 1284, 3290, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76350, 2144, 1303, 3307, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76390, 2162, 1280, 3306, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76430, 2129, 1298, 3309, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76471, 2159, 1289, 3331, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76511, 2135, 1313, 3305, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76552, 2145, 1299, 3325, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76587, 2147, 1293, 3301, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76622, 2142, 1300, 3312, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76658, 2148, 1299, 3314, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76693, 2168, 1291, 3313, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76729, 2131, 1292, 3305, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76764, 2164, 1305, 3315, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76799, 2144, 1294, 3330, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76835, 2156, 1319, 3301, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76870, 2154, 1292, 3317, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76906, 2126, 1300, 3317, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76950, 2124, 1289, 3316, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
76995, 2132, 1314, 3328, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77040, 2134, 1286, 3317, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77084, 2137, 1289, 3298, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77129, 2140, 1313, 3325, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77174, 2115, 1275, 3326, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77218, 2141, 1292, 3318, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77263, 2143, 1280, 3332, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77308, 2104, 1288, 3314, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77353, 2119, 1294, 3298, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77386, 2141, 1292, 3323, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77419, 2118, 1309, 3314, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77452, 2124, 1299, 3327, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77486, 2131, 1278, 3339, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77519, 2137, 1302, 3316, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77552, 2119, 1326, 3335, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77585, 2134, 1300, 3321, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77619, 2115, 1298, 3341, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77652, 2116, 1315, 3316, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77685, 2122, 1324, 3315, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77719, 2117, 1309, 3316, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77757, 2135, 1338, 3306, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77796, 2137, 1306, 3327, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77835, 2126, 1333, 3305, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77874, 2152, 1344, 3319, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77913, 2146, 1340, 3308, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77951, 2139, 1343, 3315, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
77990, 2133, 1358, 3311, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78029, 2131, 1349, 3299, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78068, 2138, 1371, 3304, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78107, 2128, 1342, 3289, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78149, 2136, 1356, 3296, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78192, 2134, 1349, 3293, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78234, 2164, 1343, 3287, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78277, 2152, 1357, 3308, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78320, 2128, 1361, 3276, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78362, 2166, 1348, 3309, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78405, 2153, 1352, 3302, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78447, 2145, 1358, 3276, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78490, 2171, 1352, 3297, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78533, 2149, 1360, 3288, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78566, 2140, 1357, 3299, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78600, 2143, 1365, 3272, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78633, 2127, 1349, 3306, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78667, 2124, 1352, 3301, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78700, 2157, 1353, 3287, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78734, 2161, 1345, 3284, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78767, 2133, 1353, 3282, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78801, 2130, 1355, 3267, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78834, 2138, 1362, 3281, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78868, 2166, 1348, 3276, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78902, 2145, 1351, 3289, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78940, 2120, 1357, 3300, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
78978, 2162, 1358, 3279, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79017, 2152, 1353, 3293, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79055, 2156, 1349, 3266, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79094, 2132, 1359, 3296, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79132, 2160, 1360, 3280, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79170, 2165, 1344, 3275, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79209, 2148, 1342, 3277, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79247, 2162, 1337, 3290, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79286, 2167, 1344, 3270, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79322, 2209, 1363, 3268, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79359, 2203, 1352, 3258, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79395, 2185, 1362, 3272, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79432, 2227, 1385, 3251, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79468, 2223, 1369, 3229, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79505, 2220, 1347, 3232, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79541, 2236, 1357, 3226, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79578, 2222, 1336, 3241, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79614, 2205, 1357, 3264, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79651, 2223, 1362, 3236, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79688, 2223, 1360, 3217, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79735, 2232, 1349, 3218, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79782, 2272, 1346, 3186, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79829, 2312, 1300, 3212, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79876, 2280, 1363, 3195, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79923, 2306, 1368, 3198, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
79970, 2250, 1339, 3204, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80017, 2246, 1340, 3210, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80064, 2289, 1348, 3209, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80111, 2262, 1386, 3208, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80158, 2228, 1384, 3236, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80195, 2191, 1410, 3250, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
80233, 2190, 1331, 3239, 64, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
