248791, 3561, 1264, 1738, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249579, 3584, 1257, 1687, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249618, 3583, 1251, 1675, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249657, 3580, 1263, 1717, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249697, 3599, 1263, 1682, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249737, 3571, 1233, 1700, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249776, 3570, 1275, 1708, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249816, 3585, 1271, 1695, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249856, 3587, 1260, 1690, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249895, 3571, 1264, 1709, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249935, 3575, 1257, 1688, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249975, 3575, 1287, 1715, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250015, 3587, 1246, 1674, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250053, 3567, 1286, 1709, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250092, 3561, 1302, 1696, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250130, 3584, 1280, 1692, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250169, 3574, 1250, 1712, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250208, 3571, 1245, 1723, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250246, 3572, 1257, 1719, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250285, 3565, 1255, 1703, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250324, 3559, 1267, 1694, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250362, 3561, 1258, 1686, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250401, 3572, 1293, 1682, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250440, 3565, 1253, 1665, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250484, 3578, 1259, 1720, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250529, 3558, 1232, 1675, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250574, 3585, 1256, 1685, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250619, 3579, 1266, 1691, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250664, 3569, 1280, 1707, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250709, 3556, 1242, 1700, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250754, 3561, 1250, 1716, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250799, 3563, 1230, 1727, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250844, 3564, 1267, 1688, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250889, 3563, 1264, 1690, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250921, 3568, 1279, 1686, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250954, 3565, 1276, 1695, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
250987, 3551, 1270, 1679, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251020, 3567, 1276, 1694, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251053, 3557, 1237, 1703, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251086, 3553, 1246, 1694, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251119, 3598, 1243, 1718, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251152, 3558, 1281, 1707, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251185, 3539, 1290, 1688, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251218, 3576, 1265, 1685, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251251, 3554, 1263, 1703, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251289, 3571, 1250, 1705, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251328, 3543, 1256, 1716, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251367, 3556, 1286, 1687, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251406, 3564, 1314, 1693, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251445, 3556, 1291, 1676, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251484, 3579, 1308, 1677, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251523, 3560, 1298, 1696, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251562, 3572, 1285, 1684, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251601, 3576, 1278, 1711, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251640, 3582, 1262, 1696, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251679, 3545, 1249, 1715, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251718, 3552, 1281, 1686, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251757, 3558, 1298, 1706, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251796, 3569, 1282, 1699, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251835, 3564, 1271, 1686, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251874, 3587, 1256, 1694, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251913, 3575, 1259, 1691, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251952, 3552, 1300, 1715, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
251991, 3568, 1260, 1709, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252031, 3548, 1272, 1708, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252067, 3555, 1302, 1692, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252104, 3569, 1307, 1730, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252141, 3576, 1275, 1722, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252177, 3560, 1287, 1718, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252214, 3544, 1271, 1735, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
252251, 3541, 1277, 1721, 74, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
