309743, 2153, 1098, 3367, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311736, 2800, 1034, 3086, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311770, 2638, 1093, 3038, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311804, 2633, 1137, 3040, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311837, 2630, 1136, 3017, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311871, 2645, 1128, 3017, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311905, 2648, 1104, 3024, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311949, 2641, 1097, 3021, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311994, 2627, 1102, 3005, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312039, 2622, 1127, 3013, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312084, 2631, 1090, 3008, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312129, 2621, 1122, 3006, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312173, 2620, 1099, 3018, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312218, 2615, 1104, 3025, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312263, 2625, 1121, 3018, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312308, 2672, 1107, 3014, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
312353, 2518, 1060, 3147, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312386, 2717, 1137, 3264, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312419, 2661, 1473, 3092, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312452, 2707, 1220, 2742, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312485, 2756, 1146, 3187, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312518, 2385, 637, 3568, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312551, 1213, 4729, 4222, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312584, 1648, 2533, 3658, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312617, 1622, 1863, 3457, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312650, 1253, 2122, 3018, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312683, 1465, 2743, 1851, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312716, 1017, 3191, 1769, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312758, 962, 3233, 1533, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312801, 680, 3171, 1303, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312843, 817, 3491, 1457, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312886, 719, 4027, 1557, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312928, 629, 3830, 1198, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
312971, 646, 3716, 783, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313013, 499, 3750, 895, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313056, 622, 4391, 1216, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313098, 449, 4469, 835, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313141, 434, 3536, 713, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313181, 262, 3816, 1152, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313222, 413, 3902, 983, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313263, 557, 3675, 898, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313304, 376, 4202, 1327, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313345, 633, 3836, 1189, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313385, 413, 4424, 1490, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313426, 399, 3911, 1432, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313467, 490, 3561, 1556, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313508, 471, 3827, 1374, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313549, 369, 4010, 1553, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313584, 542, 4099, 426, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313619, 197, 3351, 2021, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313654, 535, 3877, 1325, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313689, 598, 3544, 1668, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313724, 594, 3088, 1833, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313759, 504, 3787, 1904, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313794, 426, 3989, 2012, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313829, 436, 3251, 2115, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313864, 679, 3817, 1604, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313899, 1109, 3357, 1364, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313935, 676, 3717, 1999, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
313975, 740, 3313, 1697, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314016, 856, 3385, 2130, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314056, 1085, 3155, 2109, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314097, 1788, 2038, 1843, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314137, 1481, 2332, 2094, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314178, 1942, 2494, 1959, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314218, 1703, 1291, 3758, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314259, 2169, 1049, 3641, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314299, 1975, 1028, 2544, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314340, 2502, 2127, 3714, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314375, 2219, 980, 4692, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314411, 2146, 941, 2349, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314447, 3876, -297, 4951, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314483, 3335, 915, 2736, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314519, 2512, 541, 3088, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314555, 2872, 503, 3020, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, menggaruk, 
314591, 2978, 645, 2952, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314627, 2774, 609, 3066, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314663, 2641, 617, 3105, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314699, 2793, 609, 3047, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314735, 2696, 453, 3087, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314775, 2657, 628, 3058, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314816, 2573, 511, 3159, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314856, 2637, 647, 3118, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314897, 2638, 633, 3139, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314938, 2697, 656, 3167, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
314978, 2603, 595, 3171, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315019, 2632, 525, 3276, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315059, 2531, 689, 3250, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315100, 2629, 610, 3164, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315141, 2648, 545, 3206, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315185, 2536, 482, 3226, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315230, 2516, 639, 3262, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315274, 2615, 551, 3196, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315319, 2606, 642, 3175, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315363, 2590, 562, 3178, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315408, 2655, 646, 3144, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315452, 2595, 564, 3142, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315497, 2606, 704, 3165, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315541, 2601, 604, 3126, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
315586, 2693, 628, 3165, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
