161323, 2407, 776, 3305, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162302, 2618, 688, 3140, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162342, 2629, 700, 3151, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162382, 2616, 647, 3148, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162423, 2619, 694, 3132, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162462, 2636, 645, 3165, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162501, 2580, 680, 3184, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162541, 2592, 670, 3174, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162580, 2598, 643, 3161, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162620, 2597, 657, 3191, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162659, 2597, 648, 3172, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162698, 2597, 687, 3162, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162738, 2601, 679, 3162, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162777, 2612, 707, 3163, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162817, 2646, 783, 3113, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162855, 2699, 799, 3093, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162893, 2684, 890, 3067, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162931, 2681, 920, 3032, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162969, 2672, 925, 3038, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163007, 2682, 988, 3027, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163046, 2677, 1006, 2996, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163084, 2672, 1027, 2985, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163122, 2687, 993, 3023, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163160, 2710, 987, 2987, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163198, 2709, 967, 2979, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163237, 2707, 967, 2994, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163275, 2739, 926, 3001, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163314, 2696, 933, 3009, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163353, 2706, 937, 3024, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163391, 2689, 903, 3023, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163430, 2707, 900, 3042, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163469, 2699, 936, 3022, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163507, 2697, 902, 3029, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163546, 2683, 896, 3018, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163585, 2694, 920, 3032, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163624, 2670, 913, 3030, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163660, 2712, 933, 3034, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163696, 2700, 963, 3011, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163732, 2696, 936, 3018, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163768, 2687, 928, 3035, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163804, 2694, 942, 3020, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163841, 2679, 926, 3044, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163877, 2675, 934, 3042, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163913, 2674, 902, 3051, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163949, 2674, 912, 3036, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
163985, 2679, 900, 3044, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164022, 2668, 879, 3041, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164068, 2669, 881, 3058, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164115, 2664, 929, 3048, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164161, 2707, 925, 3041, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164208, 2703, 908, 3034, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164254, 2703, 892, 3013, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164301, 2723, 957, 3004, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164347, 2710, 943, 3004, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164394, 2703, 967, 3004, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164440, 2723, 950, 2993, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164487, 2727, 949, 2985, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164519, 2715, 981, 2980, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164551, 2746, 956, 2992, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164583, 2728, 962, 2988, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164615, 2709, 948, 2993, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164647, 2713, 939, 3005, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164679, 2746, 958, 2991, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164711, 2728, 957, 2988, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164743, 2728, 946, 2979, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164775, 2752, 938, 3003, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164808, 2732, 971, 2989, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164847, 2726, 953, 2984, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164887, 2718, 956, 2976, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164926, 2750, 968, 2968, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
164966, 2740, 958, 2991, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165005, 2748, 958, 2989, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165045, 2718, 975, 2977, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165084, 2729, 962, 2996, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165124, 2745, 963, 2989, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165163, 2725, 966, 2980, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165203, 2730, 965, 2986, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165243, 2739, 987, 2974, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165281, 2720, 981, 2986, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165319, 2747, 988, 2962, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165357, 2751, 992, 2958, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165395, 2739, 1002, 2944, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165434, 2729, 1026, 2976, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165472, 2730, 1014, 2955, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165510, 2724, 984, 2972, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165548, 2715, 1005, 2973, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165586, 2732, 985, 2971, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165625, 2725, 1003, 2967, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165663, 2701, 1006, 2979, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165702, 2719, 977, 2969, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165741, 2736, 993, 2969, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165780, 2732, 1027, 2967, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165819, 2727, 1010, 2950, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165857, 2728, 1010, 2958, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165896, 2757, 1012, 2951, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165935, 2738, 1007, 2971, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
165974, 2725, 1009, 2957, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166013, 2738, 990, 2962, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166053, 2716, 1002, 2970, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166093, 2744, 1003, 2957, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166134, 2733, 1001, 2970, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166174, 2715, 1014, 2956, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166215, 2733, 1021, 2976, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166255, 2757, 1009, 2973, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166296, 2742, 1037, 2946, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166336, 2757, 1030, 2949, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166377, 2773, 1037, 2925, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166417, 2750, 1043, 2933, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166458, 2774, 1036, 2941, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166492, 2744, 1030, 2941, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166527, 2750, 1055, 2923, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166561, 2754, 1033, 2937, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166596, 2772, 1024, 2938, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166631, 2759, 1030, 2934, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166665, 2761, 1034, 2949, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166700, 2754, 1048, 2930, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166734, 2753, 1046, 2936, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166769, 2769, 1026, 2941, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166804, 2758, 1041, 2928, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166842, 2768, 1038, 2935, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166880, 2764, 1058, 2948, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166918, 2768, 1045, 2928, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166956, 2770, 1061, 2932, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
166994, 2725, 1050, 2924, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167032, 2753, 1035, 2930, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167070, 2753, 1063, 2947, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167108, 2747, 1048, 2941, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167146, 2760, 1044, 2954, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167184, 2741, 1063, 2947, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167223, 2756, 1038, 2949, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167262, 2742, 1065, 2937, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167302, 2758, 1064, 2941, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167342, 2731, 1045, 2948, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167381, 2752, 1034, 2950, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167421, 2753, 1040, 2931, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167461, 2734, 1043, 2955, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167500, 2751, 1027, 2953, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167540, 2838, 1053, 2908, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167580, 2773, 1035, 2916, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167620, 2791, 1027, 2916, 92, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167659, 2840, 963, 2905, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167699, 2841, 946, 2900, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167739, 2833, 949, 2884, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167779, 2821, 951, 2908, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167819, 2839, 900, 2908, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167858, 2845, 898, 2909, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167898, 2832, 900, 2910, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167938, 2807, 910, 2919, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
167978, 2821, 861, 2857, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
168018, 2873, 871, 3019, 93, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
