96147, 3424, 1479, 1812, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97272, 3436, 1441, 1849, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97311, 3432, 1423, 1821, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97350, 3383, 1496, 1826, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97389, 3404, 1508, 1828, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97427, 3431, 1494, 1765, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97466, 3458, 1497, 1771, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97505, 3440, 1469, 1771, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97544, 3457, 1484, 1763, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97583, 3427, 1497, 1772, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97619, 3493, 1464, 1738, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97655, 3434, 1536, 1739, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97691, 3464, 1509, 1724, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97727, 3442, 1521, 1717, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97763, 3488, 1514, 1726, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97800, 3439, 1514, 1710, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97836, 3456, 1518, 1699, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97872, 3453, 1526, 1688, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97908, 3474, 1531, 1682, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97944, 3452, 1535, 1649, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97981, 3477, 1519, 1646, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98025, 3509, 1445, 1577, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98070, 3499, 1547, 1587, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98115, 3532, 1550, 1520, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98160, 3565, 1520, 1478, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98205, 3547, 1522, 1451, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98250, 3578, 1570, 1431, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98295, 3577, 1554, 1387, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98340, 3592, 1537, 1408, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98385, 3614, 1588, 1361, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98430, 3590, 1582, 1362, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98465, 3606, 1556, 1336, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98500, 3614, 1572, 1336, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98536, 3601, 1558, 1332, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98571, 3613, 1545, 1316, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98607, 3618, 1570, 1333, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98642, 3612, 1530, 1316, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98677, 3585, 1579, 1307, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98713, 3618, 1588, 1320, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98748, 3627, 1562, 1275, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98784, 3617, 1569, 1280, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98821, 3642, 1550, 1261, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98859, 3626, 1560, 1270, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98897, 3615, 1582, 1262, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98934, 3616, 1551, 1252, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
98972, 3612, 1570, 1287, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99010, 3642, 1571, 1267, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99048, 3615, 1542, 1237, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99085, 3633, 1545, 1242, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99123, 3640, 1561, 1240, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99161, 3635, 1575, 1224, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99199, 3611, 1538, 1217, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99238, 3634, 1537, 1207, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99278, 3622, 1538, 1205, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99317, 3631, 1563, 1203, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99357, 3659, 1583, 1238, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99397, 3628, 1478, 1100, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99436, 3643, 1644, 1291, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
99476, 3612, 1552, 1188, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
