107047, 3164, 2177, 1540, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107778, 3313, 2119, 1256, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107818, 3342, 2127, 1248, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107858, 3329, 2122, 1252, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107898, 3325, 2113, 1249, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107938, 3361, 2095, 1241, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107979, 3335, 2105, 1240, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108015, 3339, 2087, 1226, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108052, 3345, 2097, 1232, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108089, 3348, 2108, 1204, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108126, 3326, 2099, 1222, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108163, 3351, 2098, 1226, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108199, 3350, 2115, 1223, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108236, 3374, 2084, 1222, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108273, 3346, 2097, 1215, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108310, 3377, 2087, 1204, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108347, 3345, 2087, 1200, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108384, 3358, 2095, 1224, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108423, 3350, 2095, 1219, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108462, 3357, 2088, 1213, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108501, 3380, 2108, 1221, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108541, 3374, 2091, 1220, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108580, 3347, 2091, 1222, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108619, 3345, 2073, 1238, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108659, 3379, 2095, 1216, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108698, 3390, 2073, 1214, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108737, 3363, 2076, 1205, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108777, 3377, 2084, 1199, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108815, 3379, 2105, 1191, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108853, 3344, 2103, 1201, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108891, 3348, 2079, 1198, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108929, 3340, 2088, 1211, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
108967, 3372, 2100, 1200, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109005, 3367, 2078, 1180, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109043, 3356, 2080, 1197, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109081, 3363, 2099, 1175, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109119, 3361, 2117, 1173, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109157, 3369, 2105, 1177, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109195, 3396, 2086, 1166, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109233, 3371, 2088, 1148, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109272, 3363, 2072, 1163, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109311, 3376, 2119, 1130, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109350, 3398, 2114, 1140, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109389, 3408, 2073, 1135, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109428, 3369, 2126, 1144, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109467, 3391, 2111, 1115, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109506, 3375, 2132, 1122, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109545, 3376, 2126, 1097, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109584, 3362, 2149, 1084, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109625, 3392, 2123, 1106, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109666, 3362, 2117, 1084, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109707, 3378, 2108, 1102, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109748, 3382, 2103, 1073, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109789, 3373, 2134, 1094, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109830, 3367, 2126, 1087, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109871, 3373, 2167, 1077, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109912, 3378, 2146, 1085, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109953, 3334, 2156, 1105, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
109995, 3427, 2083, 1062, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
110030, 3396, 2015, 1101, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
110065, 3309, 2208, 1093, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
110100, 3321, 2126, 1220, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
