361518, 3508, 1586, 1592, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362808, 3486, 1585, 1599, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362845, 3481, 1587, 1590, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362881, 3476, 1566, 1611, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362918, 3492, 1596, 1600, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362959, 3490, 1598, 1601, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363001, 3501, 1587, 1597, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363043, 3501, 1572, 1615, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363084, 3492, 1567, 1607, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363126, 3493, 1570, 1584, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363168, 3484, 1579, 1600, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363209, 3497, 1557, 1597, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363251, 3489, 1568, 1604, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363293, 3502, 1568, 1621, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363335, 3495, 1558, 1598, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363373, 3485, 1559, 1601, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363411, 3494, 1549, 1596, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363449, 3474, 1558, 1588, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363488, 3493, 1543, 1615, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363526, 3489, 1554, 1610, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363564, 3468, 1573, 1617, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363603, 3497, 1571, 1610, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363641, 3473, 1578, 1610, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363679, 3486, 1560, 1599, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363718, 3490, 1562, 1631, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363754, 3496, 1562, 1615, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363790, 3471, 1572, 1611, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363827, 3478, 1559, 1619, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363863, 3466, 1564, 1628, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363899, 3461, 1565, 1615, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363936, 3489, 1565, 1617, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
363972, 3485, 1581, 1610, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364008, 3478, 1571, 1637, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364045, 3447, 1569, 1652, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364081, 3500, 1603, 1644, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364118, 3478, 1579, 1639, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364157, 3488, 1566, 1633, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364196, 3474, 1572, 1635, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364235, 3502, 1550, 1641, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364274, 3483, 1573, 1631, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364313, 3471, 1569, 1652, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364352, 3490, 1537, 1633, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364391, 3488, 1557, 1623, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364430, 3481, 1561, 1630, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364469, 3482, 1567, 1622, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364508, 3473, 1583, 1629, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364550, 3489, 1547, 1613, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364592, 3491, 1544, 1620, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364635, 3479, 1542, 1619, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364677, 3464, 1558, 1634, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364719, 3480, 1555, 1633, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364762, 3489, 1556, 1623, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364804, 3477, 1552, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364846, 3482, 1550, 1619, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364889, 3487, 1566, 1611, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364931, 3511, 1576, 1630, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
364974, 3477, 1547, 1610, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365008, 3481, 1574, 1606, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365043, 3499, 1558, 1624, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365077, 3494, 1582, 1607, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365112, 3476, 1548, 1616, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365146, 3496, 1581, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365181, 3482, 1559, 1624, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365215, 3494, 1588, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365250, 3483, 1574, 1617, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365284, 3472, 1578, 1611, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365319, 3469, 1569, 1641, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365358, 3459, 1579, 1613, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365398, 3480, 1564, 1641, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365437, 3482, 1583, 1626, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365477, 3488, 1561, 1623, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365516, 3480, 1558, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365556, 3469, 1552, 1618, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365595, 3494, 1576, 1629, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365635, 3472, 1572, 1635, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365674, 3488, 1570, 1600, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365714, 3487, 1569, 1635, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365750, 3503, 1576, 1622, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365787, 3494, 1548, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365824, 3500, 1553, 1624, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365860, 3494, 1541, 1612, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365897, 3480, 1546, 1619, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365934, 3503, 1567, 1633, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
365971, 3510, 1566, 1631, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366007, 3488, 1559, 1625, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366044, 3487, 1543, 1641, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366081, 3488, 1548, 1619, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366118, 3487, 1572, 1607, 76, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366158, 3486, 1542, 1617, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366198, 3490, 1559, 1611, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366238, 3482, 1523, 1615, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366278, 3497, 1551, 1630, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366318, 3480, 1546, 1633, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366358, 3480, 1556, 1621, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366398, 3484, 1556, 1622, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366438, 3479, 1570, 1638, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366478, 3478, 1562, 1612, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366519, 3492, 1567, 1630, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366554, 3476, 1575, 1642, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366589, 3492, 1551, 1637, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366625, 3476, 1560, 1638, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366660, 3469, 1562, 1626, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366695, 3490, 1583, 1633, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366731, 3457, 1575, 1655, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366766, 3482, 1554, 1655, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366801, 3448, 1560, 1640, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366837, 3470, 1547, 1659, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366872, 3465, 1563, 1661, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366908, 3490, 1562, 1647, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366949, 3473, 1549, 1656, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
366990, 3473, 1587, 1634, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367031, 3470, 1570, 1655, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367073, 3456, 1566, 1626, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367114, 3458, 1583, 1647, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367155, 3471, 1549, 1646, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367197, 3494, 1533, 1648, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367238, 3479, 1577, 1639, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
367279, 3462, 1582, 1635, 77, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
