290557, 2833, 1407, 2690, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292488, 2813, 1410, 2719, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292527, 2824, 1405, 2723, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292564, 2822, 1400, 2721, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292602, 2782, 1452, 2719, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292639, 2829, 1409, 2721, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292677, 2822, 1403, 2717, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292714, 2819, 1416, 2694, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292752, 2815, 1421, 2696, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292789, 2790, 1407, 2698, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292827, 2810, 1430, 2691, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292864, 2822, 1427, 2712, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292902, 2817, 1426, 2709, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292947, 2821, 1411, 2713, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292992, 2797, 1420, 2714, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293037, 2807, 1436, 2715, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293082, 2794, 1420, 2724, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293128, 2815, 1416, 2703, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293173, 2816, 1427, 2720, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293218, 2803, 1436, 2714, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293263, 2789, 1422, 2704, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293308, 2797, 1447, 2714, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293354, 2812, 1432, 2710, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293387, 2794, 1433, 2717, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293420, 2809, 1435, 2730, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293453, 2801, 1454, 2709, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293486, 2815, 1426, 2718, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293519, 2797, 1446, 2723, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293553, 2800, 1438, 2707, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293586, 2802, 1409, 2713, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293619, 2802, 1429, 2721, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293652, 2800, 1432, 2727, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293685, 2810, 1419, 2716, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293719, 2797, 1449, 2711, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293757, 2810, 1440, 2713, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293796, 2818, 1442, 2733, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293834, 2814, 1423, 2732, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293873, 2809, 1447, 2726, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293912, 2783, 1480, 2717, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293950, 2785, 1427, 2729, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
293989, 2841, 1466, 2771, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294027, 2727, 1561, 2625, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294066, 2796, 1584, 2900, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294105, 2805, 1470, 2534, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294142, 2489, 2223, 3075, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294180, 2056, 2784, 3994, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294218, 2589, 2149, 3737, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294256, 2548, 2904, 3093, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294294, 2056, 2564, 2292, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294332, 1731, 2968, 1790, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294370, 1282, 3083, 689, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294408, 1505, 3122, 136, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294446, 1398, 3310, -345, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294484, 1182, 1848, -313, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294522, 1128, 3835, 265, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294561, 1451, 4102, -235, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294601, 846, 4680, 176, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294640, 656, 3899, -269, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294680, 825, 3489, -326, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294720, 847, 4080, -396, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294759, 945, 4132, -175, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294799, 974, 3839, -21, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294838, 834, 3890, 219, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294878, 902, 3681, -95, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294918, 603, 4149, 673, 86, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294957, 729, 3984, 1042, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
294997, 722, 3522, 1790, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295037, 760, 3831, 1811, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295077, 861, 3787, 1279, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295117, 766, 3815, 1369, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295157, 897, 3899, 1020, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295197, 957, 3737, 1220, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295237, 958, 3270, 1500, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295277, 1340, 3206, 960, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295317, 1029, 2343, 2432, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295352, 1025, 2627, 3038, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295388, 1228, 2224, 2930, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295423, 1876, 2205, 3000, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295459, 2168, 1451, 2558, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295494, 2341, 1691, 2844, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295530, 2362, 1675, 3315, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295565, 2690, 1829, 3039, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295601, 3095, 2997, 5786, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295636, 2698, 1516, 2323, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295672, 2653, 1143, 3249, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295708, 2527, 1527, 2868, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295749, 2528, 1478, 2992, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, menggaruk, 
295790, 2580, 1395, 3015, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
295831, 2576, 1546, 2970, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
295872, 2544, 1483, 2949, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
295914, 2565, 1452, 2926, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
295955, 2572, 1467, 2922, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
295996, 2497, 1477, 2933, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296037, 2539, 1492, 2907, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296078, 2552, 1492, 2959, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296120, 2557, 1481, 2883, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296157, 2637, 1520, 2872, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296195, 2554, 1570, 2887, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296232, 2626, 1486, 2865, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296270, 2595, 1492, 2875, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296308, 2582, 1509, 2889, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296345, 2569, 1538, 2888, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296383, 2565, 1544, 2896, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296421, 2559, 1513, 2892, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296458, 2577, 1513, 2866, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296496, 2556, 1488, 2909, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296534, 2579, 1504, 2891, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296571, 2570, 1513, 2882, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296608, 2585, 1525, 2893, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296645, 2571, 1493, 2907, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296683, 2539, 1496, 2880, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296720, 2572, 1515, 2901, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296757, 2560, 1510, 2894, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296795, 2553, 1496, 2898, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296832, 2566, 1484, 2897, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296869, 2531, 1509, 2902, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296907, 2565, 1515, 2874, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296948, 2556, 1524, 2927, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
296989, 2567, 1511, 2917, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297030, 2602, 1473, 2902, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297071, 2585, 1483, 2902, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297113, 2549, 1512, 2920, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297154, 2609, 1500, 2897, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297195, 2597, 1499, 2896, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297236, 2581, 1489, 2885, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297277, 2627, 1483, 2896, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297319, 2597, 1507, 2890, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297354, 2625, 1481, 2866, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297389, 2602, 1485, 2870, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297424, 2600, 1523, 2870, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297460, 2607, 1508, 2878, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297495, 2578, 1500, 2875, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297530, 2595, 1514, 2885, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297565, 2597, 1493, 2863, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297601, 2592, 1520, 2873, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297636, 2584, 1495, 2870, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297671, 2595, 1527, 2865, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297707, 2593, 1514, 2868, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297747, 2593, 1521, 2868, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297787, 2581, 1509, 2862, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297827, 2589, 1522, 2877, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297867, 2572, 1547, 2872, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297907, 2571, 1496, 2885, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297947, 2640, 1525, 2861, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
297987, 2618, 1525, 2847, 89, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
