172746, 1616, 2374, 3018, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173555, 2370, 1614, 2745, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173587, 2536, 1741, 2987, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173625, 2654, 1812, 2754, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173664, 2689, 1701, 2791, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173702, 2438, 1841, 2785, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173741, 2418, 1887, 2827, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173779, 2471, 1729, 2858, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173818, 2541, 1731, 2886, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173856, 2369, 1853, 2860, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173895, 2426, 1822, 2889, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173933, 2410, 1820, 2858, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173972, 2452, 1846, 2832, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174011, 2445, 1864, 2808, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174051, 2441, 1811, 2787, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174090, 2423, 1810, 2868, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174130, 2396, 1899, 2802, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174169, 2397, 1858, 2825, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174209, 2414, 1830, 2845, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174248, 2397, 1862, 2835, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174288, 2399, 1869, 2834, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174327, 2365, 1896, 2829, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174367, 2350, 1903, 2862, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174407, 2355, 1894, 2855, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174444, 2320, 1934, 2857, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174482, 2335, 1890, 2877, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174520, 2302, 1898, 2881, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174558, 2278, 1971, 2865, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174596, 2279, 1943, 2871, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174634, 2258, 1932, 2894, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174672, 2249, 1962, 2878, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174710, 2266, 1961, 2861, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174748, 2274, 1947, 2896, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174786, 2270, 1923, 2876, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174826, 2258, 1969, 2861, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174867, 2266, 1976, 2866, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174908, 2242, 1957, 2866, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174949, 2265, 1967, 2887, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
174990, 2248, 1970, 2868, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175031, 2250, 1986, 2871, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175072, 2273, 1971, 2863, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175113, 2273, 1974, 2873, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175154, 2253, 1963, 2855, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175195, 2268, 1982, 2864, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175231, 2246, 1977, 2877, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175267, 2259, 1991, 2866, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175304, 2249, 2003, 2884, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175340, 2240, 2010, 2877, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175376, 2259, 1966, 2871, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175413, 2263, 1984, 2880, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175449, 2263, 1976, 2857, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175485, 2249, 1976, 2884, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175522, 2240, 2004, 2853, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175558, 2245, 2002, 2874, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175595, 2259, 1996, 2857, 77, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175634, 2260, 1991, 2853, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175673, 2247, 1965, 2879, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175712, 2256, 1999, 2888, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175751, 2232, 1988, 2858, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175791, 2254, 1972, 2877, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175830, 2259, 1962, 2851, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175869, 2249, 1994, 2874, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175908, 2230, 2000, 2880, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175947, 2258, 1987, 2853, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
175987, 2213, 1980, 2870, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176023, 2249, 1976, 2866, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176060, 2263, 1975, 2861, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176097, 2266, 1959, 2871, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176134, 2290, 1989, 2867, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176171, 2262, 1975, 2858, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176207, 2265, 1973, 2867, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176244, 2260, 1979, 2861, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176281, 2266, 1972, 2868, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176318, 2271, 1990, 2848, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176355, 2232, 1970, 2876, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176392, 2262, 1995, 2876, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176436, 2248, 1995, 2851, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176481, 2235, 2004, 2859, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176526, 2256, 1987, 2879, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176571, 2226, 2004, 2864, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176616, 2257, 1984, 2864, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176661, 2244, 2008, 2864, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176706, 2243, 2001, 2866, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176751, 2243, 2004, 2876, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176796, 2238, 1999, 2867, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176841, 2254, 1992, 2879, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176875, 2257, 1989, 2869, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176910, 2237, 2011, 2859, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176945, 2229, 2017, 2882, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
176980, 2215, 1997, 2867, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177015, 2205, 1995, 2866, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177049, 2225, 2028, 2852, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177084, 2209, 2001, 2873, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177119, 2214, 2017, 2875, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177154, 2214, 2025, 2870, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177189, 2199, 2022, 2861, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177225, 2249, 2041, 2863, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177262, 2198, 2071, 2867, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177298, 2180, 2024, 2887, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177335, 2190, 2030, 2874, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177371, 2234, 2033, 2858, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177408, 2208, 2011, 2856, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
177444, 2204, 1990, 2821, 79, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
