277667, 1482, 1727, 3514, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
279879, 1014, 2729, -2541, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279917, 1123, 3090, -2872, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279955, 1091, 2874, -2904, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279993, 1067, 2767, -2750, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280031, 1083, 2583, -2755, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280069, 1189, 2873, -2817, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280107, 1219, 2723, -2847, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280145, 1208, 2936, -2855, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280184, 1128, 2852, -2701, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280223, 1100, 2872, -2760, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280261, 1253, 2787, -2741, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280300, 1205, 2818, -2453, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280339, 1260, 2588, -2353, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280378, 1277, 2992, -2610, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280416, 1283, 3015, -2928, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280455, 1262, 2908, -2669, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280494, 1210, 2864, -2536, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280533, 1255, 2926, -2538, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280570, 1341, 3067, -2651, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280607, 1351, 3061, -2590, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280644, 1334, 2838, -2573, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280681, 1186, 2726, -2566, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280718, 1228, 2680, -2573, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280755, 1215, 2753, -2475, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280792, 1357, 3007, -2663, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280829, 1342, 3177, -2810, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280866, 1327, 3630, -2757, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280903, 1344, 4026, -3152, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280939, 1649, 4093, -2641, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
280976, 926, 2984, -36, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281013, 571, 1875, 1049, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281050, 786, 1249, 2193, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281087, 1071, 1540, 3417, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281123, 1321, 1637, 3306, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281160, 1452, 1765, 3032, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281197, 1749, 2526, 3607, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281234, 2156, 1107, 6108, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281271, 1100, 1599, 3566, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281308, 1833, 1246, 3747, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281353, 1802, 1344, 3547, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281398, 1759, 1536, 3495, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
281443, 1778, 1564, 3451, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281488, 1712, 1432, 3486, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281533, 1703, 1456, 3521, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281578, 1715, 1423, 3537, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281623, 1705, 1484, 3500, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281668, 1725, 1469, 3485, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281713, 1690, 1365, 3540, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281758, 1694, 1457, 3515, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281792, 1677, 1414, 3514, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281827, 1669, 1454, 3503, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281861, 1670, 1414, 3477, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281896, 1634, 1435, 3502, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281931, 1712, 1379, 3471, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
281965, 1685, 1417, 3458, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
282000, 1647, 1427, 3558, 85, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
