128344, 2751, 1317, 2814, 98, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130971, 2856, 1254, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131012, 2870, 1255, 2744, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131052, 2855, 1271, 2744, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131092, 2853, 1262, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131133, 2864, 1280, 2747, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131173, 2834, 1283, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131214, 2838, 1282, 2739, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131249, 2850, 1284, 2732, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131285, 2855, 1262, 2748, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131321, 2861, 1274, 2737, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131357, 2867, 1276, 2752, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131393, 2862, 1249, 2749, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131428, 2831, 1224, 2724, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131464, 2857, 1222, 2764, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131500, 2860, 1273, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131536, 2846, 1250, 2763, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131572, 2839, 1271, 2764, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131608, 2825, 1273, 2753, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131649, 2854, 1263, 2755, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131691, 2826, 1259, 2760, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131733, 2845, 1242, 2749, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131774, 2859, 1270, 2748, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131816, 2843, 1251, 2743, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131858, 2837, 1247, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131899, 2853, 1273, 2750, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131941, 2864, 1265, 2753, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
131983, 2846, 1232, 2758, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132025, 2842, 1250, 2755, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132065, 2851, 1259, 2748, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132105, 2862, 1257, 2767, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132146, 2843, 1276, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132186, 2833, 1269, 2762, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132227, 2827, 1279, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132267, 2851, 1258, 2747, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132307, 2835, 1263, 2763, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132348, 2831, 1295, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132388, 2847, 1262, 2746, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132429, 2844, 1289, 2750, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132467, 2840, 1241, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132505, 2847, 1233, 2772, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132543, 2858, 1243, 2761, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132581, 2857, 1269, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132619, 2854, 1267, 2740, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132658, 2853, 1243, 2750, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132696, 2824, 1269, 2756, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132734, 2854, 1260, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132772, 2855, 1248, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132810, 2859, 1257, 2761, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132849, 2867, 1253, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132885, 2846, 1257, 2740, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132921, 2840, 1246, 2760, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132957, 2849, 1250, 2752, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
132993, 2846, 1232, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133029, 2825, 1257, 2775, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133065, 2833, 1243, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133101, 2834, 1245, 2772, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133137, 2847, 1277, 2764, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133173, 2844, 1265, 2762, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133209, 2826, 1254, 2760, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133248, 2862, 1231, 2758, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133287, 2830, 1252, 2773, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133326, 2841, 1264, 2754, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133365, 2832, 1260, 2776, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133404, 2848, 1251, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133443, 2827, 1254, 2758, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133482, 2829, 1248, 2770, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133521, 2835, 1273, 2736, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133560, 2844, 1255, 2770, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133599, 2833, 1266, 2768, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133636, 2839, 1255, 2749, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133673, 2848, 1270, 2756, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133711, 2830, 1310, 2759, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133748, 2827, 1295, 2746, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133785, 2825, 1275, 2744, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133823, 2839, 1277, 2767, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133860, 2858, 1279, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133897, 2823, 1273, 2755, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133935, 2842, 1303, 2732, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
133972, 2797, 1216, 2783, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
