57022, 2703, 1551, 2805, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57865, 2759, 1540, 2687, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57910, 2755, 1555, 2656, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57955, 2727, 1629, 2647, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58000, 2777, 1543, 2663, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58045, 2751, 1543, 2674, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58079, 2784, 1522, 2674, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58114, 2763, 1527, 2687, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58149, 2813, 1485, 2666, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58184, 2812, 1514, 2668, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58219, 2804, 1562, 2642, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58253, 2822, 1524, 2629, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58288, 2785, 1583, 2627, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58323, 2787, 1572, 2627, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58358, 2796, 1585, 2646, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58393, 2812, 1579, 2650, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58428, 2779, 1593, 2630, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58465, 2814, 1570, 2640, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58502, 2809, 1550, 2636, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58539, 2785, 1581, 2630, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58576, 2794, 1611, 2616, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58614, 2788, 1594, 2628, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58651, 2793, 1574, 2623, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58688, 2822, 1620, 2618, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58725, 2804, 1620, 2614, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58762, 2809, 1643, 2577, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58800, 2788, 1650, 2561, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58844, 2803, 1653, 2594, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58889, 2822, 1685, 2568, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58934, 2808, 1662, 2584, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
58979, 2801, 1633, 2578, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59024, 2791, 1640, 2604, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59068, 2787, 1604, 2612, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59113, 2812, 1612, 2613, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59158, 2813, 1653, 2618, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59203, 2819, 1649, 2606, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59248, 2824, 1624, 2585, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59278, 2784, 1664, 2571, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59309, 2800, 1664, 2595, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59339, 2801, 1655, 2588, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59370, 2785, 1683, 2562, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59400, 2805, 1658, 2584, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59431, 2805, 1637, 2573, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59461, 2807, 1653, 2566, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59492, 2813, 1685, 2564, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59522, 2820, 1702, 2565, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59553, 2799, 1640, 2592, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59584, 2797, 1663, 2587, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59628, 2813, 1689, 2570, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59672, 2800, 1660, 2572, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59716, 2815, 1679, 2568, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59760, 2804, 1683, 2563, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59805, 2818, 1688, 2561, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59849, 2820, 1672, 2560, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59893, 2830, 1678, 2564, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59937, 2806, 1698, 2560, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
59981, 2783, 1668, 2555, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60026, 2808, 1692, 2564, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60060, 2787, 1694, 2548, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60095, 2806, 1692, 2547, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60130, 2821, 1683, 2545, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60165, 2830, 1649, 2543, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60200, 2813, 1664, 2570, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60234, 2788, 1703, 2546, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60269, 2813, 1689, 2542, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60304, 2799, 1684, 2542, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60339, 2826, 1684, 2529, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60374, 2811, 1696, 2557, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60409, 2810, 1706, 2545, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60450, 2806, 1705, 2538, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60492, 2838, 1712, 2532, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60534, 2837, 1676, 2539, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60576, 2816, 1685, 2551, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60618, 2791, 1714, 2532, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60660, 2774, 1715, 2549, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60702, 2795, 1705, 2527, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60744, 2793, 1687, 2557, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60786, 2804, 1695, 2547, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60828, 2780, 1747, 2530, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60866, 2803, 1698, 2539, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60904, 2823, 1696, 2543, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60942, 2815, 1723, 2522, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
60980, 2811, 1719, 2523, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61019, 2794, 1752, 2512, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61057, 2820, 1739, 2519, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61095, 2796, 1741, 2525, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61133, 2806, 1721, 2523, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61171, 2783, 1721, 2526, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61210, 2789, 1751, 2513, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61244, 2835, 1704, 2548, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61278, 2812, 1720, 2528, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61312, 2833, 1756, 2521, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61346, 2789, 1735, 2521, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61380, 2786, 1747, 2535, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61415, 2815, 1703, 2518, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61449, 2801, 1699, 2532, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61483, 2794, 1757, 2494, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61517, 2831, 1727, 2490, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61551, 2847, 1713, 2481, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61586, 2878, 1731, 2422, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
61632, 2844, 1824, 2462, 79, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
