414518, 3359, 1240, 2057, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415876, 3397, 1192, 2051, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415919, 3402, 1191, 2054, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415962, 3402, 1178, 2069, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416005, 3385, 1174, 2069, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416049, 3411, 1183, 2074, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416083, 3379, 1207, 2068, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416117, 3398, 1187, 2062, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416151, 3388, 1198, 2070, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416185, 3392, 1199, 2038, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416219, 3400, 1194, 2058, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416253, 3403, 1190, 2077, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416287, 3413, 1187, 2075, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416321, 3410, 1195, 2073, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416355, 3388, 1144, 2062, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416389, 3399, 1166, 2087, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416424, 3408, 1182, 2066, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416463, 3428, 1162, 2054, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416502, 3377, 1239, 2064, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416541, 3383, 1179, 2070, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416580, 3386, 1175, 2098, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416620, 3386, 1199, 2072, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416659, 3389, 1164, 2087, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416698, 3386, 1194, 2088, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416737, 3395, 1174, 2077, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416776, 3418, 1167, 2079, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416816, 3419, 1179, 2064, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416854, 3414, 1188, 2085, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416892, 3383, 1203, 2063, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416930, 3390, 1189, 2085, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
416968, 3380, 1189, 2084, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417006, 3379, 1158, 2088, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417044, 3394, 1186, 2097, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417082, 3375, 1194, 2063, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417120, 3384, 1189, 2064, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417158, 3400, 1173, 2076, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417196, 3401, 1157, 2054, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417234, 3396, 1190, 2062, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417272, 3394, 1190, 2074, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417310, 3384, 1177, 2073, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417348, 3388, 1181, 2086, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417387, 3377, 1164, 2079, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417425, 3399, 1180, 2088, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417463, 3404, 1146, 2071, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417502, 3402, 1188, 2071, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
417540, 3384, 1157, 2091, 82, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
