458639, 3272, 1742, 1841, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459910, 3425, 1575, 1694, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459946, 3431, 1602, 1713, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459983, 3432, 1609, 1670, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460019, 3381, 1515, 1666, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460055, 3460, 1640, 1699, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460092, 3411, 1600, 1656, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460133, 3406, 1680, 1680, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460175, 3378, 1707, 1701, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460216, 3393, 1675, 1711, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460258, 3401, 1714, 1695, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460300, 3394, 1740, 1699, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460341, 3412, 1673, 1673, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460383, 3396, 1701, 1675, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460424, 3408, 1674, 1635, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460466, 3426, 1698, 1662, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460508, 3407, 1710, 1650, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460545, 3431, 1676, 1650, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460582, 3423, 1677, 1601, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460619, 3418, 1667, 1654, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460657, 3406, 1702, 1635, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460694, 3352, 1686, 1661, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460731, 3420, 1679, 1633, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460768, 3491, 1545, 1620, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460806, 3457, 1708, 1596, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460843, 3414, 1684, 1607, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460880, 3421, 1711, 1585, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460918, 3423, 1691, 1600, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
460964, 3419, 1679, 1609, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461010, 3451, 1658, 1637, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461057, 3406, 1730, 1631, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461103, 3432, 1670, 1605, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461150, 3437, 1678, 1605, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461196, 3426, 1654, 1608, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461242, 3439, 1684, 1593, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461289, 3422, 1706, 1613, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461335, 3412, 1692, 1565, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461382, 3425, 1661, 1611, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461419, 3419, 1722, 1626, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461456, 3448, 1681, 1596, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461493, 3417, 1761, 1623, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461530, 3425, 1715, 1636, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461567, 3421, 1722, 1595, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461604, 3391, 1729, 1625, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461641, 3433, 1714, 1600, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461678, 3404, 1750, 1601, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461715, 3399, 1734, 1609, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461753, 3402, 1720, 1621, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461786, 3400, 1764, 1614, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461819, 3401, 1729, 1592, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461852, 3395, 1728, 1613, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461886, 3395, 1721, 1602, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461919, 3390, 1738, 1587, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461952, 3417, 1721, 1609, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
461985, 3426, 1708, 1606, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462019, 3397, 1724, 1640, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462052, 3394, 1724, 1627, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462085, 3391, 1743, 1594, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462119, 3388, 1744, 1622, 75, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462159, 3404, 1739, 1632, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462199, 3400, 1738, 1644, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462239, 3405, 1737, 1636, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462279, 3386, 1737, 1629, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462320, 3398, 1743, 1632, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462360, 3411, 1727, 1627, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462400, 3415, 1741, 1631, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462440, 3401, 1729, 1652, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462480, 3393, 1736, 1627, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462521, 3396, 1726, 1657, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462556, 3363, 1771, 1639, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462591, 3349, 1750, 1660, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462626, 3389, 1765, 1667, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462661, 3376, 1772, 1672, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462696, 3360, 1745, 1649, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462731, 3361, 1798, 1694, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462766, 3397, 1712, 1707, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462801, 3342, 1797, 1692, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462836, 3348, 1771, 1720, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462871, 3326, 1788, 1764, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462907, 3293, 1791, 1775, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462948, 3286, 1759, 1754, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
462989, 3284, 1806, 1769, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463031, 3298, 1782, 1782, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463072, 3283, 1761, 1761, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463114, 3296, 1758, 1787, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463155, 3321, 1733, 1751, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463196, 3329, 1754, 1794, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463238, 3378, 1702, 1747, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463279, 3350, 1785, 1763, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463321, 3333, 1730, 1753, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463362, 3330, 1737, 1766, 78, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463403, 3321, 1770, 1754, 78, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
463445, 3357, 1730, 1759, 78, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
