60313, 3477, 1727, 1219, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61438, 3621, 1845, 895, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61470, 3595, 1860, 873, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61503, 3598, 1820, 862, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61535, 3616, 1826, 888, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61567, 3585, 1824, 884, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61600, 3605, 1798, 890, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61632, 3628, 1831, 884, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61664, 3590, 1803, 874, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61697, 3629, 1859, 888, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61737, 3604, 1830, 873, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61777, 3599, 1800, 884, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61818, 3614, 1811, 853, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61858, 3624, 1819, 870, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61899, 3605, 1806, 864, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61939, 3625, 1834, 890, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61980, 3627, 1831, 881, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62020, 3628, 1838, 880, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62061, 3609, 1804, 865, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62101, 3634, 1827, 871, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62142, 3613, 1810, 890, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62176, 3623, 1831, 883, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62211, 3630, 1812, 864, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62246, 3617, 1822, 868, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62281, 3617, 1796, 856, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62316, 3614, 1812, 867, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62351, 3613, 1815, 862, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62386, 3613, 1795, 845, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62421, 3601, 1837, 870, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62456, 3605, 1765, 870, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62491, 3619, 1806, 863, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62531, 3597, 1853, 860, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62571, 3629, 1831, 862, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62612, 3599, 1855, 849, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62652, 3616, 1882, 863, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62692, 3622, 1790, 816, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62733, 3614, 1836, 842, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
62773, 3597, 1855, 953, 72, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
