181825, 3322, 2428, 405, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183509, 3330, 2404, 393, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183548, 3334, 2404, 436, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183588, 3339, 2398, 425, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183627, 3345, 2395, 435, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183666, 3340, 2393, 416, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183706, 3325, 2421, 417, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183745, 3328, 2387, 436, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183784, 3343, 2377, 413, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183824, 3324, 2397, 424, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183863, 3318, 2389, 419, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183902, 3345, 2406, 434, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183942, 3328, 2420, 421, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183980, 3355, 2393, 422, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184019, 3338, 2416, 421, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184058, 3342, 2428, 412, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184097, 3337, 2406, 417, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184135, 3339, 2403, 433, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184174, 3323, 2413, 422, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184213, 3316, 2414, 425, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184252, 3336, 2402, 416, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184290, 3336, 2407, 412, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184329, 3315, 2430, 413, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184368, 3317, 2405, 426, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184407, 3301, 2413, 433, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184446, 3301, 2400, 473, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184482, 3354, 2368, 447, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184519, 3332, 2377, 421, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184556, 3374, 2335, 359, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184593, 3362, 2385, 349, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184630, 3337, 2404, 322, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184667, 3354, 2397, 346, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184703, 3363, 2425, 369, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184740, 3338, 2406, 370, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184777, 3345, 2404, 390, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184814, 3323, 2396, 398, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184851, 3332, 2424, 382, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184888, 3326, 2435, 409, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
184925, 3366, 2386, 358, 94, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
