225586, 1894, 2146, 3014, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228929, 2118, 2267, 2771, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228964, 2111, 2247, 2767, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228998, 2126, 2240, 2772, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229032, 2104, 2228, 2781, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229067, 2099, 2241, 2771, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229101, 2127, 2249, 2768, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229135, 2109, 2261, 2772, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229170, 2111, 2256, 2780, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229210, 2110, 2265, 2774, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229251, 2112, 2265, 2773, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229291, 2111, 2241, 2761, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229332, 2114, 2238, 2763, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229373, 2108, 2254, 2770, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229413, 2103, 2231, 2770, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229454, 2134, 2216, 2776, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229494, 2088, 2243, 2781, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229535, 2091, 2230, 2778, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229576, 2108, 2258, 2774, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229612, 2104, 2231, 2800, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229648, 2107, 2275, 2791, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229684, 2076, 2273, 2764, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229720, 2109, 2263, 2775, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229756, 2105, 2265, 2771, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229792, 2066, 2249, 2762, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229828, 2073, 2264, 2796, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229864, 2108, 2251, 2788, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229900, 2054, 2309, 2777, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
229936, 2079, 2302, 2781, 88, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
