137511, 3501, 1600, 1541, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139318, 3501, 1659, 1519, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139357, 3471, 1683, 1506, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139397, 3488, 1691, 1498, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139433, 3469, 1680, 1478, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139470, 3506, 1697, 1484, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139507, 3516, 1665, 1459, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139543, 3474, 1682, 1492, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139580, 3504, 1674, 1486, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139617, 3491, 1666, 1481, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139654, 3482, 1677, 1494, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139690, 3476, 1663, 1494, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139727, 3495, 1691, 1480, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139764, 3486, 1662, 1488, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139801, 3470, 1670, 1506, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139843, 3474, 1680, 1490, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139885, 3479, 1668, 1493, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139927, 3482, 1674, 1490, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139970, 3489, 1664, 1476, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140012, 3507, 1656, 1504, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140054, 3489, 1681, 1460, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140097, 3481, 1675, 1502, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140139, 3474, 1675, 1495, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140181, 3478, 1663, 1474, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140224, 3490, 1691, 1487, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140261, 3491, 1674, 1476, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140298, 3495, 1680, 1490, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140335, 3513, 1658, 1506, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140373, 3479, 1700, 1516, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140410, 3482, 1676, 1507, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140447, 3507, 1674, 1501, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140485, 3478, 1669, 1516, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140522, 3490, 1687, 1503, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140559, 3471, 1658, 1505, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140597, 3513, 1668, 1504, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140633, 3502, 1658, 1493, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140670, 3458, 1701, 1520, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140707, 3488, 1682, 1513, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140744, 3504, 1667, 1512, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140781, 3466, 1675, 1507, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140817, 3476, 1672, 1512, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140854, 3474, 1684, 1509, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140891, 3455, 1701, 1507, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140928, 3479, 1668, 1513, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
140965, 3486, 1675, 1498, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141002, 3488, 1681, 1512, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141040, 3460, 1683, 1513, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141079, 3468, 1667, 1510, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141118, 3446, 1683, 1526, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141157, 3474, 1662, 1519, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141196, 3473, 1707, 1488, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141235, 3481, 1703, 1489, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141274, 3479, 1695, 1501, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141313, 3472, 1707, 1479, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141352, 3495, 1711, 1480, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141391, 3495, 1709, 1456, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141431, 3488, 1718, 1471, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141472, 3480, 1708, 1472, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141512, 3483, 1707, 1476, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141553, 3492, 1669, 1480, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141594, 3483, 1681, 1506, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141634, 3494, 1681, 1492, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141675, 3481, 1669, 1465, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141715, 3490, 1667, 1465, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141756, 3494, 1674, 1465, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141797, 3503, 1696, 1461, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141835, 3463, 1676, 1465, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141873, 3486, 1703, 1486, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141911, 3481, 1679, 1505, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141949, 3481, 1685, 1480, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
141987, 3463, 1694, 1475, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142025, 3488, 1712, 1476, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142063, 3471, 1671, 1464, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142101, 3483, 1680, 1437, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142139, 3498, 1678, 1420, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142177, 3505, 1692, 1436, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142216, 3525, 1687, 1428, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142253, 3515, 1693, 1414, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142291, 3519, 1668, 1386, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142328, 3497, 1731, 1421, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142366, 3531, 1657, 1400, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142403, 3552, 1662, 1423, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142441, 3527, 1656, 1364, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142478, 3545, 1622, 1362, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142516, 3575, 1608, 1316, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142553, 3577, 1623, 1290, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142591, 3615, 1605, 1290, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142628, 3524, 1706, 1171, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142665, 3636, 1609, 1212, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142702, 3634, 1651, 1198, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
142739, 3674, 1610, 1181, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
