155781, 2980, 2613, 1235, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156443, 3050, 2583, 1064, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156478, 3074, 2583, 1052, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156513, 3057, 2592, 1071, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156549, 3064, 2557, 1040, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156584, 3068, 2601, 1065, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156619, 3050, 2592, 1058, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156655, 3055, 2577, 1043, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156690, 3071, 2589, 1027, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156725, 3075, 2614, 1035, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156761, 3046, 2586, 1012, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156796, 3037, 2592, 1015, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156832, 3042, 2571, 1023, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156873, 3055, 2591, 1022, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156914, 3047, 2581, 1049, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156955, 3071, 2577, 1030, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156996, 3066, 2598, 1042, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157037, 3054, 2587, 1028, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157078, 3070, 2583, 1025, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157119, 3040, 2578, 1033, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157160, 3044, 2590, 1014, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157201, 3068, 2586, 1024, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157242, 3058, 2597, 1017, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157282, 3051, 2585, 1013, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157322, 3060, 2606, 1016, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157362, 3056, 2590, 1038, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157402, 3050, 2583, 1017, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157442, 3043, 2584, 1044, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157482, 3057, 2560, 1023, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157522, 3055, 2584, 1028, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157562, 3060, 2574, 1010, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157602, 3047, 2568, 1001, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157643, 3062, 2578, 1015, 76, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157682, 3060, 2604, 992, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157721, 3061, 2584, 1024, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157760, 3061, 2582, 1007, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157799, 3064, 2585, 1013, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157838, 3082, 2583, 1022, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157878, 3048, 2587, 1015, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157917, 3057, 2586, 1008, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157956, 3078, 2595, 991, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
157995, 3078, 2579, 1016, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158034, 3052, 2598, 1014, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158074, 3075, 2590, 1017, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158110, 3038, 2589, 1014, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158147, 3076, 2580, 1021, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158183, 3063, 2579, 1026, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158220, 3071, 2564, 1029, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158256, 3079, 2552, 1019, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158293, 3041, 2561, 1036, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158329, 3084, 2575, 1025, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158366, 3093, 2558, 1024, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158402, 3077, 2554, 1031, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158439, 3058, 2594, 1019, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158474, 3083, 2575, 1002, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158509, 3059, 2576, 1028, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158544, 3069, 2576, 1013, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158579, 3072, 2573, 1036, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158614, 3068, 2573, 1027, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158649, 3083, 2533, 1030, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158684, 3062, 2568, 1001, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158719, 3085, 2567, 1022, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158754, 3076, 2569, 995, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158789, 3099, 2548, 1014, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158825, 3082, 2565, 1011, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158865, 3071, 2551, 1003, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158905, 3076, 2556, 1022, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158945, 3062, 2556, 1017, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
158985, 3063, 2567, 1031, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159025, 3095, 2544, 1025, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159065, 3089, 2551, 1036, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159105, 3089, 2550, 1022, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159145, 3080, 2537, 1017, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159185, 3104, 2557, 1028, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159225, 3089, 2538, 1023, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159264, 3092, 2554, 1038, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159303, 3103, 2533, 1028, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159342, 3088, 2542, 1048, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159381, 3080, 2566, 1039, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159420, 3066, 2559, 1036, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159459, 3082, 2541, 1015, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159498, 3080, 2571, 1009, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159537, 3085, 2559, 1008, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159576, 3119, 2551, 1017, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159616, 3085, 2559, 1009, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159654, 3081, 2554, 1004, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159693, 3093, 2565, 1008, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159732, 3086, 2557, 1019, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159771, 3079, 2567, 1006, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159810, 3096, 2558, 1020, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159848, 3073, 2569, 1014, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159887, 3069, 2580, 1024, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159926, 3097, 2548, 1010, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
159965, 3077, 2554, 1018, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160004, 3069, 2584, 991, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160043, 3089, 2584, 1011, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160083, 3092, 2558, 993, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160124, 3090, 2530, 1009, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160164, 3080, 2536, 1015, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160205, 3101, 2536, 1029, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160245, 3068, 2548, 1022, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160286, 3090, 2561, 1039, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160326, 3105, 2550, 1043, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160367, 3089, 2553, 1004, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160407, 3108, 2553, 1008, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160448, 3073, 2568, 992, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160489, 3096, 2552, 974, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160530, 3090, 2565, 971, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160571, 3076, 2549, 962, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160612, 3105, 2558, 965, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160653, 3074, 2559, 951, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160695, 3075, 2564, 972, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160736, 3085, 2586, 985, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160777, 3066, 2554, 987, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160818, 3097, 2567, 984, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160859, 3083, 2568, 1007, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160901, 3102, 2542, 989, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160935, 3079, 2560, 996, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
160969, 3088, 2577, 970, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161003, 3087, 2561, 971, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161037, 3097, 2551, 957, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161072, 3080, 2575, 953, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161106, 3099, 2577, 929, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161140, 3096, 2605, 928, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161174, 3085, 2603, 928, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161208, 3082, 2588, 928, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161243, 3089, 2569, 945, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161283, 3062, 2571, 966, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161324, 3087, 2590, 955, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161364, 3079, 2593, 955, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161405, 3080, 2585, 944, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161446, 3068, 2608, 920, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161486, 3056, 2600, 964, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
161527, 3069, 2570, 942, 77, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
