246010, 3648, 1802, 888, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248210, 3202, 2546, 692, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248250, 3235, 2533, 698, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248290, 3197, 2561, 700, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248331, 3228, 2535, 724, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248371, 3193, 2529, 717, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248411, 3183, 2520, 731, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248452, 3190, 2562, 739, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248488, 3165, 2556, 742, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248525, 3169, 2540, 756, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248562, 3157, 2575, 771, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248599, 3131, 2579, 779, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248636, 3146, 2593, 792, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248673, 3126, 2547, 781, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248709, 3120, 2529, 797, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248746, 3133, 2565, 796, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248783, 3105, 2598, 790, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248820, 3119, 2556, 796, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248857, 3116, 2571, 772, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248894, 3143, 2554, 775, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248931, 3160, 2595, 770, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
248969, 3153, 2579, 765, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
249007, 3116, 2602, 804, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
249045, 3130, 2576, 805, 90, 16e67287-54d6-481d-a167-30b71e8435a7, , sujud, sujud, , 
