150086, 3024, 1934, 2122, 84, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152437, 3114, 1745, 2050, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152478, 3037, 1994, 1998, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152519, 3051, 1967, 1999, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152560, 3042, 1978, 2000, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152601, 3041, 1983, 1997, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152642, 3035, 1975, 2023, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152683, 3039, 1980, 1995, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152724, 3000, 1968, 2035, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152765, 3036, 1977, 2009, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152806, 3036, 1979, 1998, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152846, 3000, 2013, 1971, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152887, 3079, 1986, 1963, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152928, 3026, 2036, 1958, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
152968, 3055, 1986, 2002, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153009, 3047, 2017, 2003, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153050, 3051, 2001, 1987, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153090, 3048, 2024, 2014, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153131, 3039, 1992, 1976, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153172, 3033, 2015, 1970, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153213, 3043, 2037, 1977, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153250, 3013, 2027, 1972, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153287, 3011, 2012, 1997, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153324, 3025, 2010, 1995, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153361, 3039, 2023, 1988, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153398, 3012, 2035, 1987, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153435, 3038, 2017, 1969, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153472, 3029, 2008, 1981, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153509, 3024, 2038, 1984, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153546, 3040, 2030, 1960, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153583, 3021, 2050, 1970, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153620, 3055, 2006, 1974, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153663, 3021, 2062, 1979, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153706, 3029, 2000, 1962, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153750, 3019, 2055, 1959, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153793, 3047, 2009, 1958, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153837, 3026, 2048, 1958, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153880, 3025, 2028, 1972, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153923, 3020, 2030, 1985, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
153967, 3026, 2045, 1995, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154010, 3022, 2038, 1989, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154054, 3005, 2050, 2006, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154089, 3024, 2032, 1984, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154125, 3003, 2063, 1985, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154161, 3019, 2040, 1985, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154197, 3000, 2038, 1961, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154233, 3000, 2064, 2002, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154269, 3042, 2010, 1993, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154305, 3003, 2041, 2024, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154341, 3030, 1993, 2018, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154377, 2990, 2025, 2028, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154413, 2963, 2056, 2041, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154448, 2976, 2073, 2061, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154483, 2951, 2127, 2057, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154519, 2944, 2038, 2075, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154554, 2954, 2046, 2146, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154590, 2935, 2031, 2132, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154625, 2935, 2011, 2134, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154661, 2945, 1989, 2113, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154696, 2968, 2014, 2115, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154732, 2925, 2064, 2087, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154767, 2935, 2060, 2115, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154803, 2949, 2038, 2111, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154843, 2928, 2027, 2097, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154884, 2921, 2035, 2136, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154924, 2909, 2062, 2129, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
154965, 2924, 2034, 2111, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155005, 2913, 2054, 2132, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155046, 2943, 2046, 2121, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155086, 2888, 2071, 2118, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155127, 2908, 2038, 2101, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155167, 2910, 2054, 2099, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155208, 2910, 2060, 2102, 81, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155244, 2895, 2051, 2136, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155281, 2919, 2057, 2092, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155318, 2907, 2042, 2125, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155355, 2906, 2046, 2111, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155392, 2908, 2078, 2112, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155429, 2898, 2054, 2096, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155466, 2906, 2018, 2103, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155503, 2949, 2065, 2099, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155540, 2937, 2061, 2099, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155577, 2928, 2090, 2085, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155614, 2932, 2030, 2099, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155652, 2917, 2086, 2075, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155691, 2933, 2057, 2087, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155730, 2961, 2071, 2071, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155769, 2920, 2094, 2066, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155808, 2925, 2075, 2082, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155846, 2913, 2080, 2098, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155885, 2914, 2079, 2067, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155924, 2912, 2083, 2064, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
155963, 2927, 2067, 2069, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156002, 2897, 2110, 2084, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156043, 2967, 2093, 2080, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156084, 2913, 2103, 2062, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156125, 2931, 2095, 2059, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156166, 2904, 2098, 2068, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
156207, 2923, 2078, 2061, 80, 3c7417a7-9cfe-415c-92d1-7955d8220db4, , sujud, sujud, , 
