223131, 3479, 1624, 1611, 75, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226644, 3494, 1581, 1561, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226679, 3497, 1588, 1584, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226715, 3512, 1563, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226750, 3472, 1577, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226786, 3493, 1578, 1575, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226821, 3490, 1573, 1578, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226857, 3491, 1581, 1568, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226893, 3507, 1581, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226933, 3501, 1568, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
226974, 3507, 1574, 1572, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227015, 3508, 1582, 1578, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227056, 3497, 1557, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227097, 3503, 1574, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227138, 3493, 1584, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227179, 3511, 1580, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227220, 3490, 1566, 1596, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227261, 3490, 1569, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227302, 3494, 1581, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227339, 3496, 1564, 1580, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227377, 3497, 1580, 1578, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227415, 3492, 1587, 1576, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227453, 3514, 1573, 1581, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227491, 3505, 1568, 1573, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227528, 3517, 1569, 1563, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227566, 3512, 1589, 1573, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227604, 3504, 1582, 1574, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227642, 3518, 1559, 1557, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227680, 3505, 1584, 1557, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227718, 3497, 1571, 1556, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227755, 3506, 1558, 1571, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227793, 3508, 1573, 1561, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227830, 3523, 1593, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227868, 3273, 1442, 1596, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227906, 3515, 1597, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227943, 3524, 1577, 1563, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
227981, 3499, 1588, 1564, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228018, 3495, 1578, 1545, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228056, 3505, 1559, 1533, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228094, 3508, 1584, 1542, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228136, 3519, 1566, 1536, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228179, 3489, 1595, 1550, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228222, 3519, 1575, 1545, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228264, 3510, 1587, 1544, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228307, 3504, 1571, 1537, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228350, 3512, 1569, 1544, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228392, 3517, 1593, 1549, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228435, 3503, 1566, 1537, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228478, 3524, 1581, 1529, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228521, 3537, 1572, 1535, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228554, 3538, 1574, 1535, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228587, 3531, 1589, 1526, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228620, 3593, 1626, 1535, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228654, 3511, 1574, 1526, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228687, 3540, 1584, 1507, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228720, 3530, 1571, 1503, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228753, 3539, 1583, 1490, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228787, 3594, 1587, 1499, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228820, 3528, 1563, 1502, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228853, 3556, 1548, 1501, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228887, 3547, 1544, 1477, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228932, 3556, 1549, 1467, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
228977, 3546, 1564, 1479, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229022, 3551, 1568, 1465, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229067, 3618, 1589, 1455, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229112, 3557, 1548, 1466, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229157, 3549, 1547, 1459, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229202, 3544, 1571, 1449, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229247, 3586, 1559, 1461, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229292, 3559, 1607, 1444, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229338, 3584, 1528, 1459, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229376, 3569, 1506, 1419, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
229414, 3564, 1402, 1391, 74, fcb17d4c-84f5-4e73-9f4a-d8d6e06d86ec, , sujud, sujud, , 
