281224, 2660, 486, 3071, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284181, 2992, 941, 2734, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284221, 2994, 929, 2740, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284260, 2994, 913, 2730, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284300, 2996, 932, 2723, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284340, 3010, 936, 2711, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284380, 3020, 928, 2734, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284420, 2997, 932, 2693, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284465, 3022, 918, 2702, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284510, 3015, 938, 2709, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284555, 3019, 943, 2691, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284600, 3028, 936, 2704, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284646, 3037, 919, 2696, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284691, 3030, 921, 2689, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284736, 3033, 927, 2690, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284781, 3049, 901, 2677, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284826, 3054, 881, 2685, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284872, 3067, 937, 2644, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284904, 3056, 905, 2705, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284937, 3076, 903, 2664, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
284970, 3066, 884, 2651, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
285003, 3062, 868, 2677, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
285036, 3134, 799, 2647, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
285068, 3027, 839, 2681, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
285101, 3073, 721, 2625, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
285134, 2997, 816, 2670, 94, 8974c4b6-ca1c-432e-b746-5cd2c4863d31, , sujud, sujud, , 
