544638, 3359, 1467, 1929, 78, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546517, 3417, 1488, 1820, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546555, 3420, 1484, 1813, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546594, 3402, 1509, 1798, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546632, 3434, 1514, 1819, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546671, 3418, 1519, 1839, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546709, 3437, 1474, 1812, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546748, 3430, 1511, 1827, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546786, 3407, 1511, 1813, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546825, 3414, 1513, 1811, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546863, 3426, 1499, 1816, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546902, 3434, 1455, 1814, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546939, 3423, 1491, 1803, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
546977, 3447, 1451, 1805, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547015, 3433, 1474, 1812, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547053, 3408, 1467, 1810, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547091, 3439, 1457, 1806, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547128, 3429, 1473, 1808, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547166, 3419, 1463, 1799, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547204, 3434, 1492, 1805, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547242, 3438, 1484, 1799, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547280, 3442, 1494, 1798, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547318, 3435, 1473, 1808, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547359, 3407, 1492, 1824, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547401, 3430, 1485, 1802, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547442, 3429, 1457, 1808, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547484, 3440, 1480, 1804, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547526, 3428, 1505, 1795, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547567, 3429, 1495, 1806, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547609, 3404, 1493, 1789, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547650, 3401, 1491, 1811, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547692, 3424, 1460, 1816, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547734, 3426, 1513, 1829, 73, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547769, 3442, 1483, 1819, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547805, 3411, 1491, 1812, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547840, 3447, 1506, 1803, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547876, 3435, 1490, 1817, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547912, 3430, 1481, 1810, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547947, 3423, 1510, 1834, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
547983, 3395, 1482, 1804, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548018, 3424, 1476, 1829, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548054, 3410, 1487, 1820, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548090, 3431, 1497, 1823, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548129, 3408, 1483, 1830, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548168, 3414, 1496, 1813, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548207, 3431, 1496, 1820, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548246, 3424, 1482, 1833, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548285, 3399, 1487, 1821, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548324, 3404, 1474, 1831, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548363, 3419, 1472, 1814, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548402, 3405, 1492, 1820, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548441, 3410, 1513, 1828, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548480, 3409, 1497, 1833, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548519, 3396, 1479, 1824, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548555, 3411, 1486, 1814, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548592, 3423, 1480, 1797, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548629, 3395, 1498, 1843, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548666, 3418, 1497, 1827, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548703, 3414, 1492, 1836, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548739, 3400, 1495, 1834, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548776, 3410, 1511, 1819, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548813, 3417, 1488, 1828, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548850, 3407, 1495, 1842, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548887, 3396, 1479, 1818, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548927, 3409, 1489, 1850, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
548967, 3428, 1484, 1834, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549007, 3421, 1499, 1807, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549047, 3407, 1485, 1826, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549087, 3432, 1476, 1825, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549127, 3411, 1486, 1828, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549167, 3419, 1486, 1821, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549207, 3428, 1496, 1825, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549247, 3422, 1502, 1829, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549287, 3413, 1512, 1812, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549327, 3424, 1497, 1821, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549368, 3404, 1488, 1837, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549409, 3398, 1513, 1840, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549450, 3429, 1488, 1839, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549491, 3395, 1505, 1865, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549532, 3407, 1474, 1839, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549573, 3392, 1480, 1864, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549614, 3416, 1475, 1847, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549655, 3404, 1474, 1862, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549696, 3420, 1507, 1846, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549737, 3419, 1508, 1818, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549777, 3422, 1512, 1840, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549817, 3401, 1495, 1843, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549857, 3405, 1501, 1847, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549897, 3403, 1512, 1824, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549937, 3407, 1510, 1834, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
549977, 3394, 1522, 1825, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550017, 3403, 1524, 1842, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550057, 3372, 1506, 1824, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550097, 3399, 1504, 1837, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550137, 3397, 1512, 1851, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550170, 3388, 1540, 1819, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550204, 3403, 1534, 1825, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550238, 3402, 1512, 1835, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550271, 3373, 1540, 1823, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550305, 3377, 1498, 1818, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550339, 3398, 1513, 1830, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550373, 3390, 1527, 1840, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550406, 3407, 1512, 1817, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550440, 3409, 1526, 1805, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550474, 3394, 1517, 1813, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550508, 3393, 1540, 1806, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550554, 3404, 1525, 1813, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550601, 3398, 1528, 1839, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550647, 3414, 1513, 1806, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550694, 3418, 1546, 1835, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550741, 3408, 1531, 1810, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550787, 3386, 1539, 1811, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550834, 3404, 1545, 1825, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550880, 3409, 1533, 1796, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550927, 3425, 1529, 1814, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
550974, 3409, 1526, 1810, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551006, 3402, 1557, 1804, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551039, 3405, 1513, 1789, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551072, 3422, 1553, 1806, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551105, 3389, 1546, 1816, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551138, 3410, 1552, 1819, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551170, 3397, 1536, 1829, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551203, 3384, 1551, 1808, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551236, 3407, 1554, 1818, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551269, 3414, 1551, 1800, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551302, 3414, 1532, 1795, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551338, 3406, 1525, 1796, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551375, 3406, 1533, 1796, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551412, 3438, 1515, 1789, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551449, 3413, 1536, 1789, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551486, 3417, 1552, 1793, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551523, 3438, 1530, 1759, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551560, 3414, 1531, 1794, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551597, 3429, 1520, 1772, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551634, 3432, 1522, 1762, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551671, 3434, 1521, 1749, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551708, 3428, 1542, 1768, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551752, 3446, 1516, 1762, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551796, 3439, 1525, 1741, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551840, 3426, 1556, 1758, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551884, 3432, 1554, 1729, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551929, 3417, 1551, 1755, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
551973, 3427, 1544, 1742, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552017, 3420, 1559, 1728, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552061, 3422, 1566, 1744, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552105, 3431, 1542, 1744, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552150, 3433, 1545, 1754, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552192, 3421, 1543, 1732, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552235, 3433, 1558, 1752, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552277, 3422, 1539, 1746, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552320, 3430, 1555, 1751, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552363, 3434, 1539, 1743, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552405, 3417, 1531, 1762, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552448, 3426, 1559, 1782, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552490, 3424, 1538, 1742, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552533, 3410, 1564, 1751, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552576, 3417, 1526, 1739, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552606, 3423, 1544, 1736, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552636, 3444, 1551, 1734, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552666, 3421, 1533, 1751, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552697, 3406, 1572, 1773, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552727, 3437, 1485, 1735, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552757, 3407, 1587, 1785, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552787, 3442, 1543, 1750, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552818, 3412, 1562, 1751, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552848, 3417, 1563, 1786, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552878, 3414, 1546, 1766, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552909, 3402, 1567, 1777, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552949, 3410, 1578, 1793, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
552990, 3414, 1543, 1787, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
553031, 3421, 1576, 1785, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
553072, 3402, 1620, 1786, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
553113, 3425, 1535, 1759, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
553154, 3408, 1556, 1764, 75, f6f83597-6e10-4fcb-98d2-e053c91c0601, , sujud, sujud, , 
