238691, 2475, 2318, 2383, 85, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239364, 2473, 2300, 2415, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239405, 2469, 2288, 2403, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239446, 2465, 2294, 2391, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239487, 2469, 2299, 2417, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239528, 2445, 2329, 2403, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239569, 2448, 2323, 2438, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239605, 2466, 2323, 2403, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239642, 2479, 2290, 2404, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239678, 2462, 2281, 2414, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239715, 2448, 2318, 2404, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239751, 2423, 2333, 2390, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239788, 2454, 2376, 2361, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239824, 2449, 2314, 2409, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239861, 2439, 2318, 2388, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239897, 2447, 2340, 2391, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239934, 2437, 2348, 2371, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239971, 2447, 2372, 2374, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240012, 2419, 2368, 2406, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240053, 2416, 2386, 2368, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240095, 2431, 2379, 2379, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240136, 2407, 2350, 2362, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240178, 2441, 2368, 2377, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240219, 2428, 2365, 2380, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240260, 2432, 2367, 2385, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240302, 2440, 2353, 2364, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240343, 2423, 2381, 2379, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240385, 2402, 2368, 2396, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240426, 2443, 2340, 2400, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240468, 2435, 2390, 2375, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240510, 2418, 2374, 2392, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240551, 2435, 2382, 2388, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240593, 2419, 2348, 2393, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240635, 2426, 2355, 2381, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240676, 2430, 2375, 2371, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240718, 2408, 2360, 2386, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240760, 2420, 2380, 2374, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240802, 2407, 2378, 2386, 82, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240837, 2432, 2346, 2383, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240873, 2416, 2390, 2369, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240908, 2449, 2357, 2367, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240944, 2412, 2399, 2399, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
240979, 2417, 2341, 2396, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241015, 2445, 2369, 2366, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241050, 2415, 2393, 2365, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241086, 2397, 2395, 2384, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241121, 2411, 2355, 2399, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241157, 2424, 2371, 2359, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241193, 2403, 2391, 2399, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241237, 2430, 2356, 2375, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241282, 2410, 2403, 2378, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241327, 2395, 2443, 2380, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241371, 2376, 2396, 2382, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241416, 2410, 2378, 2401, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241461, 2391, 2362, 2385, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241505, 2385, 2376, 2405, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241550, 2399, 2375, 2383, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241595, 2397, 2364, 2393, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241640, 2409, 2384, 2406, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241672, 2429, 2413, 2374, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
241705, 2444, 2392, 2426, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241738, 2512, 2388, 2569, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241771, 2415, 2378, 2354, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241804, 2442, 2740, 2347, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241837, 2526, 2567, 2634, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241870, 2436, 3227, 2535, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241903, 1999, 3612, 1624, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241936, 1986, 3114, 2259, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
241969, 1889, 3526, 1786, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242002, 1621, 3631, 1370, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242041, 1700, 3120, 1394, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242080, 1226, 3067, 1213, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242119, 1151, 2803, 1079, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242158, 1000, 3533, 1018, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242197, 998, 3725, 852, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242236, 1253, 3873, 95, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242275, 1054, 4471, 665, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242314, 932, 4065, 458, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242353, 1088, 3882, 337, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242392, 908, 4023, 275, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242434, 960, 4133, -39, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242476, 999, 3788, 181, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242518, 1071, 3762, -106, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242560, 1093, 4004, 132, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242602, 841, 4328, 52, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242644, 1044, 4168, 61, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242686, 1000, 4045, 273, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242728, 1038, 3901, 425, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242770, 956, 4114, 405, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242812, 839, 3960, -87, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242846, 1011, 3961, 450, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242880, 819, 3826, -29, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242914, 1019, 3669, 86, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242948, 1152, 3593, 264, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
242982, 1224, 3861, -268, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243016, 1046, 3282, 742, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243050, 1289, 3529, 490, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243084, 1618, 3737, 764, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243118, 1930, 4019, 1302, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243152, 1963, 3522, 1750, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243186, 2054, 2975, 1970, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243226, 1866, 3591, 2161, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243267, 1879, 2307, 2144, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243308, 2063, 4033, 1792, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243348, 2017, 2849, 2164, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243389, 1948, 2026, 1954, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243430, 2563, 4222, 2631, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243470, 2662, 1650, 2021, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243511, 3115, 2529, 2441, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243552, 2620, 2471, 2243, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243593, 2566, 2481, 2161, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, menggaruk, 
243632, 2625, 2558, 2192, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
243671, 2720, 2459, 2145, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
243711, 2697, 2467, 2238, 80, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
