273312, 2910, 2541, 1481, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275332, 2991, 2536, 1357, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275369, 2962, 2547, 1365, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275406, 2983, 2527, 1362, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275442, 2976, 2542, 1366, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275479, 2956, 2532, 1355, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275516, 2998, 2522, 1361, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275553, 2976, 2536, 1377, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275592, 2955, 2553, 1387, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275631, 2959, 2525, 1372, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275671, 2959, 2552, 1363, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275710, 2958, 2546, 1370, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275750, 2962, 2569, 1384, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
275789, 3019, 2484, 1359, 86, 65a10da7-4116-456b-ac44-25440d1410d6, , sujud, sujud, , 
