128877, 3785, 1080, 1318, 98, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130751, 3843, 1058, 1214, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130791, 3821, 1060, 1216, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130832, 3820, 1060, 1223, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130872, 3834, 1055, 1242, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130912, 3826, 1067, 1224, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130952, 3801, 1070, 1221, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
130992, 3819, 1086, 1207, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131033, 3801, 1069, 1213, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131070, 3830, 1050, 1213, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131107, 3826, 1058, 1218, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131144, 3839, 1081, 1225, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131181, 3804, 1073, 1232, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131218, 3807, 1091, 1205, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131255, 3821, 1096, 1216, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131292, 3815, 1097, 1231, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131329, 3837, 1095, 1207, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131366, 3816, 1075, 1214, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131403, 3803, 1076, 1202, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131440, 3810, 1058, 1214, 100, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131479, 3810, 1114, 1233, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131518, 3807, 1100, 1211, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131557, 3808, 1111, 1204, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131596, 3809, 1122, 1243, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131635, 3809, 1135, 1244, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131674, 3790, 1134, 1196, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131713, 3821, 1100, 1222, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131752, 3800, 1133, 1215, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131791, 3795, 1117, 1209, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131830, 3811, 1113, 1218, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131871, 3809, 1143, 1231, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131913, 3805, 1131, 1209, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131955, 3798, 1087, 1200, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
131997, 3806, 1112, 1202, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132039, 3776, 1096, 1182, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132080, 3824, 1121, 1223, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132122, 3820, 1109, 1246, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132164, 3831, 1111, 1198, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132206, 3802, 1145, 1215, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132248, 3819, 1103, 1203, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132282, 3803, 1123, 1192, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132317, 3806, 1107, 1199, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132352, 3812, 1147, 1184, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132386, 3809, 1118, 1211, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132421, 3795, 1120, 1160, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132456, 3821, 1109, 1171, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132491, 3828, 1100, 1172, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132525, 3809, 1142, 1178, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132560, 3815, 1142, 1178, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132595, 3813, 1119, 1186, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132630, 3819, 1148, 1159, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132670, 3808, 1143, 1179, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132710, 3803, 1140, 1146, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132750, 3797, 1163, 1142, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132790, 3836, 1135, 1164, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132830, 3846, 1142, 1135, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132870, 3790, 1148, 1126, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132910, 3835, 1143, 1122, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132950, 3824, 1169, 1125, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
132990, 3850, 1145, 1150, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133031, 3847, 1138, 1128, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133067, 3828, 1156, 1155, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133104, 3826, 1129, 1132, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133140, 3816, 1147, 1162, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133177, 3828, 1141, 1165, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133213, 3814, 1185, 1157, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
133250, 3849, 1112, 1149, 101, a4529025-e287-4aee-8d65-fb5895d5a483, , sujud, sujud, , 
