154876, 2756, 2611, 1625, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155820, 2763, 2655, 1530, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155862, 2760, 2700, 1554, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155904, 2761, 2661, 1557, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155946, 2762, 2666, 1556, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
155988, 2764, 2684, 1552, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156025, 2750, 2684, 1560, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156063, 2741, 2672, 1563, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156101, 2760, 2668, 1546, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156139, 2767, 2688, 1553, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156177, 2753, 2687, 1559, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156214, 2769, 2678, 1568, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156252, 2759, 2658, 1525, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156290, 2758, 2675, 1532, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156328, 2754, 2664, 1556, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156366, 2740, 2671, 1543, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156405, 2754, 2675, 1547, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156445, 2774, 2670, 1542, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156484, 2739, 2689, 1561, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156524, 2736, 2681, 1560, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156563, 2772, 2679, 1566, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156603, 2766, 2699, 1535, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156642, 2767, 2676, 1549, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156682, 2763, 2664, 1535, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156721, 2772, 2689, 1525, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156761, 2739, 2679, 1520, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156801, 2740, 2675, 1538, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156836, 2746, 2682, 1531, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156871, 2769, 2677, 1562, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156906, 2754, 2687, 1569, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156941, 2752, 2672, 1541, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
156976, 2772, 2667, 1525, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157011, 2747, 2679, 1540, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157046, 2756, 2675, 1526, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157081, 2754, 2665, 1540, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157116, 2753, 2665, 1560, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157151, 2751, 2671, 1555, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157187, 2766, 2667, 1548, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157224, 2728, 2683, 1542, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157261, 2737, 2691, 1544, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157297, 2732, 2673, 1540, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157334, 2745, 2671, 1543, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157371, 2731, 2699, 1567, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157408, 2752, 2644, 1576, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157444, 2754, 2662, 1554, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157481, 2764, 2635, 1564, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
157518, 2815, 2613, 1559, 81, 39104313-4435-406d-9e3b-b12c1961b9ee, , sujud, sujud, , 
