67295, 3032, 2228, 1680, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68195, 3068, 2237, 1590, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68240, 3095, 2250, 1586, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68286, 3112, 2222, 1577, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68331, 3092, 2223, 1577, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68377, 3105, 2250, 1582, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68422, 3078, 2246, 1593, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68468, 3093, 2242, 1594, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68501, 3096, 2242, 1615, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68534, 3104, 2233, 1612, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68567, 3107, 2239, 1609, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68600, 3100, 2228, 1589, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68633, 3099, 2238, 1588, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68666, 3111, 2242, 1592, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68699, 3092, 2223, 1586, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68732, 3092, 2217, 1586, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68765, 3102, 2251, 1584, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68798, 3087, 2221, 1577, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68832, 3106, 2235, 1605, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68874, 3080, 2240, 1591, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68916, 3093, 2229, 1629, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
68958, 3062, 2266, 1603, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
69001, 3116, 2236, 1600, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
69043, 3096, 2237, 1597, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
69085, 3082, 2227, 1612, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
69128, 3134, 2189, 1591, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
69170, 3128, 2213, 1606, 63, 19748bbc-7dc7-4de0-bc94-8bdf3798f2c3, , sujud, sujud, , 
