67261, 2712, 2740, 1466, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68614, 2924, 2739, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68648, 2938, 2731, 998, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68683, 2928, 2736, 994, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68718, 2910, 2741, 1003, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68753, 2924, 2742, 1018, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68788, 2910, 2747, 1014, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68823, 2962, 2733, 988, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68868, 2925, 2743, 985, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68913, 2954, 2735, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
68958, 2921, 2733, 991, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69004, 2937, 2749, 988, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69049, 2956, 2733, 984, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69094, 2959, 2745, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69140, 2942, 2738, 984, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69185, 2928, 2739, 978, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69230, 2930, 2758, 985, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69276, 2918, 2756, 988, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69310, 2917, 2725, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69344, 2929, 2764, 999, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69378, 2938, 2737, 990, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69412, 2930, 2749, 995, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69446, 2909, 2723, 1001, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69480, 2929, 2733, 998, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69514, 2909, 2743, 1007, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69548, 2944, 2759, 1001, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69582, 2931, 2755, 991, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69617, 2932, 2727, 992, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69655, 2934, 2745, 984, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69694, 2933, 2738, 977, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69733, 2929, 2748, 982, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69771, 2938, 2744, 988, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69810, 2938, 2740, 1010, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69849, 2921, 2727, 979, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69888, 2889, 2747, 1018, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69926, 2914, 2763, 1031, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
69965, 2903, 2726, 1011, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
70004, 2903, 2750, 1014, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
70043, 2897, 2735, 1029, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
70081, 2858, 2764, 1092, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
70119, 2871, 2688, 1107, 49, beecc9f5-207c-405b-a8e3-a9d7e94a98bf, , sujud, sujud, , 
