121791, 3302, 2427, 582, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122706, 3179, 2558, 650, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122744, 3171, 2529, 714, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122781, 3163, 2564, 713, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122819, 3143, 2606, 765, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122857, 3152, 2551, 778, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122895, 3083, 2635, 741, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122933, 3077, 2665, 751, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
122971, 3071, 2655, 774, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123009, 3077, 2655, 764, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123047, 3061, 2653, 729, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123085, 3037, 2673, 734, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123123, 3049, 2700, 725, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123161, 3078, 2652, 720, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123200, 3057, 2664, 733, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123238, 3084, 2677, 742, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123276, 3077, 2630, 728, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123314, 3096, 2678, 768, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123352, 3101, 2673, 750, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123390, 3096, 2654, 741, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123429, 3133, 2649, 753, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123468, 3114, 2656, 745, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123507, 3109, 2647, 734, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123546, 3120, 2624, 724, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123585, 3101, 2595, 713, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123624, 3115, 2634, 730, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123663, 3135, 2614, 727, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123702, 3106, 2644, 743, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123741, 3121, 2629, 758, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123780, 3127, 2641, 746, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123819, 3108, 2629, 736, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123858, 3098, 2642, 746, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123897, 3109, 2627, 724, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123936, 3074, 2625, 733, 98, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
123974, 3128, 2618, 733, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124012, 3117, 2607, 724, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124050, 3127, 2622, 753, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124088, 3105, 2624, 745, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124126, 3134, 2578, 744, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124164, 3090, 2619, 740, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124203, 3093, 2627, 729, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124241, 3106, 2617, 732, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124279, 3087, 2632, 725, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124317, 3125, 2597, 746, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
124355, 3084, 2625, 729, 96, a5f9d287-b692-4114-97ce-4b2acc9000d1, , sujud, sujud, , 
