185976, 2398, 2220, 2537, 85, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187605, 2328, 2261, 2560, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187638, 2314, 2291, 2553, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187671, 2313, 2290, 2561, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187705, 2325, 2238, 2570, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187738, 2320, 2269, 2588, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187771, 2313, 2192, 2598, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187805, 2339, 2256, 2609, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187838, 2344, 2245, 2556, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187871, 2304, 2199, 2574, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187905, 2397, 2342, 2618, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187938, 2459, 2158, 2536, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187972, 2258, 2029, 2710, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188015, 2310, 2087, 2606, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188058, 2366, 2006, 2709, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188101, 2411, 2135, 2684, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188144, 2441, 2077, 2656, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188187, 2405, 2025, 2701, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188230, 2416, 2128, 2648, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188273, 2406, 2129, 2617, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188316, 2403, 2165, 2655, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188359, 2424, 2092, 2665, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188403, 2357, 2155, 2641, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188436, 2389, 2123, 2584, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188470, 2393, 2156, 2608, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188504, 2362, 2209, 2605, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188538, 2399, 2156, 2626, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188572, 2373, 2219, 2595, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188605, 2423, 2159, 2598, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188639, 2403, 2187, 2621, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188673, 2406, 2128, 2641, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188707, 2446, 2058, 2590, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188741, 2409, 2124, 2656, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188775, 2410, 2131, 2634, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188819, 2413, 2097, 2614, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188863, 2410, 2064, 2622, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188908, 2426, 2079, 2642, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188952, 2452, 2063, 2639, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
188997, 2412, 2076, 2653, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189041, 2414, 2084, 2627, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189085, 2427, 2110, 2608, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189130, 2425, 2091, 2643, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189174, 2421, 2084, 2647, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189219, 2418, 2127, 2645, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189255, 2413, 2094, 2616, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189292, 2412, 2140, 2647, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189329, 2416, 2133, 2652, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189366, 2398, 2175, 2638, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189403, 2377, 2136, 2645, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189439, 2403, 2122, 2624, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189476, 2395, 2140, 2599, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189513, 2390, 2122, 2648, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189550, 2405, 2158, 2627, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189587, 2366, 2153, 2601, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189621, 2366, 2197, 2602, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189655, 2318, 2200, 2614, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189689, 2356, 2184, 2615, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189723, 2359, 2172, 2634, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189757, 2368, 2202, 2602, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189791, 2341, 2166, 2604, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189825, 2343, 2198, 2631, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189859, 2364, 2186, 2631, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189893, 2363, 2227, 2600, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189927, 2360, 2211, 2586, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
189961, 2364, 2210, 2621, 80, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190005, 2342, 2239, 2590, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190049, 2366, 2203, 2610, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190093, 2365, 2198, 2610, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190137, 2363, 2211, 2599, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190181, 2347, 2183, 2612, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190225, 2350, 2223, 2601, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190269, 2339, 2244, 2613, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190313, 2348, 2219, 2563, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190357, 2338, 2235, 2597, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190401, 2343, 2254, 2591, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190436, 2343, 2245, 2574, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190471, 2341, 2260, 2586, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190506, 2345, 2240, 2574, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190541, 2334, 2243, 2562, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190576, 2338, 2281, 2583, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190611, 2336, 2241, 2598, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190646, 2348, 2250, 2572, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190681, 2338, 2246, 2575, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190716, 2363, 2278, 2562, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190751, 2336, 2273, 2566, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190786, 2321, 2256, 2572, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190829, 2347, 2270, 2563, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190873, 2353, 2283, 2571, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190916, 2356, 2277, 2572, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
190960, 2331, 2284, 2568, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191004, 2331, 2248, 2580, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191047, 2312, 2288, 2566, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191091, 2345, 2296, 2569, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191134, 2335, 2275, 2554, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191178, 2342, 2265, 2572, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191222, 2331, 2302, 2564, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191258, 2324, 2292, 2557, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
191295, 2335, 2294, 2548, 79, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
