90396, 2661, 2890, 1207, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91062, 2725, 2872, 1186, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91101, 2734, 2856, 1196, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91140, 2708, 2883, 1177, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91180, 2743, 2856, 1184, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91221, 2721, 2865, 1172, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91262, 2735, 2862, 1171, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91302, 2725, 2891, 1167, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91343, 2723, 2894, 1169, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91384, 2721, 2881, 1152, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91424, 2695, 2878, 1137, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91465, 2750, 2875, 1131, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91506, 2725, 2875, 1136, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91547, 2737, 2885, 1150, 95, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91584, 2723, 2883, 1177, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91621, 2716, 2872, 1175, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91658, 2720, 2866, 1166, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91695, 2732, 2873, 1164, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91732, 2726, 2871, 1185, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91769, 2729, 2859, 1183, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91806, 2748, 2886, 1173, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91843, 2725, 2890, 1147, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91880, 2722, 2891, 1158, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91917, 2707, 2860, 1159, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91953, 2712, 2882, 1153, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
91990, 2738, 2861, 1177, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92026, 2716, 2886, 1150, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92063, 2732, 2870, 1160, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92100, 2708, 2894, 1160, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92136, 2723, 2891, 1155, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92173, 2712, 2874, 1146, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92210, 2716, 2879, 1165, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92246, 2745, 2878, 1159, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92283, 2721, 2896, 1175, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92320, 2708, 2889, 1168, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92359, 2727, 2882, 1155, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92398, 2736, 2888, 1183, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92437, 2708, 2881, 1140, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92477, 2742, 2889, 1143, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92516, 2735, 2894, 1158, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92555, 2731, 2877, 1165, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92595, 2733, 2879, 1152, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92634, 2731, 2886, 1170, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92673, 2740, 2888, 1146, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92713, 2723, 2879, 1148, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92753, 2734, 2909, 1165, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92793, 2726, 2893, 1140, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92833, 2708, 2894, 1157, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92873, 2735, 2886, 1156, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92914, 2736, 2881, 1163, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92954, 2720, 2863, 1127, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
92994, 2737, 2879, 1135, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
93034, 2747, 2868, 1097, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
93074, 2727, 2918, 1140, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
93115, 2709, 2862, 1115, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
93151, 2728, 2918, 1134, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
93188, 2723, 2888, 1111, 96, 147296d4-2737-4f40-b7bc-e5e928aa654e, , sujud, sujud, , 
