134011, 1506, 1744, 3479, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138462, 1354, 1669, 3541, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138504, 1348, 1688, 3530, 83, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138539, 1338, 1691, 3544, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138574, 1343, 1698, 3546, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138609, 1340, 1685, 3549, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138644, 1358, 1712, 3544, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138679, 1339, 1708, 3554, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138715, 1360, 1699, 3531, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138750, 1356, 1676, 3531, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138785, 1370, 1700, 3524, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138820, 1358, 1686, 3544, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138855, 1367, 1702, 3536, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138891, 1354, 1679, 3532, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138932, 1374, 1695, 3546, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
138973, 1341, 1686, 3556, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139014, 1330, 1701, 3550, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139055, 1338, 1682, 3540, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139096, 1382, 1686, 3549, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139137, 1359, 1700, 3553, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139178, 1335, 1687, 3541, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139219, 1352, 1706, 3538, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139260, 1342, 1690, 3539, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139302, 1357, 1662, 3559, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139337, 1325, 1698, 3537, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139372, 1331, 1719, 3538, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139407, 1327, 1687, 3550, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139443, 1348, 1694, 3549, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139478, 1337, 1699, 3549, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139513, 1356, 1700, 3538, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139548, 1336, 1684, 3540, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139584, 1338, 1688, 3559, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139619, 1324, 1700, 3541, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139654, 1350, 1718, 3533, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139690, 1347, 1678, 3528, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139730, 1361, 1683, 3535, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139770, 1374, 1713, 3517, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139810, 1421, 1761, 3515, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
139850, 1376, 1713, 3541, 82, cac6917d-3661-4c94-8c76-f1b3f031f212, , sujud, sujud, , 
