247022, 2918, 1215, 2679, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250116, 2964, 1528, 2484, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250156, 2937, 1508, 2494, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250197, 2947, 1507, 2479, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250237, 2968, 1493, 2467, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250277, 2977, 1489, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250318, 2983, 1513, 2492, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250358, 2959, 1518, 2501, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250399, 2965, 1509, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250436, 2962, 1495, 2509, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250473, 2952, 1498, 2491, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250511, 2949, 1479, 2496, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250548, 2967, 1519, 2485, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250585, 2944, 1504, 2496, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250623, 2964, 1520, 2485, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250660, 2939, 1491, 2501, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250697, 2937, 1485, 2487, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250735, 2975, 1504, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250772, 2951, 1510, 2506, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250810, 2959, 1474, 2510, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250849, 2969, 1495, 2501, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250888, 2956, 1520, 2509, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250927, 2959, 1516, 2490, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250966, 2927, 1510, 2503, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251005, 2940, 1502, 2513, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251044, 2954, 1504, 2503, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251083, 2964, 1510, 2516, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251122, 2961, 1496, 2532, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251161, 2957, 1494, 2519, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251201, 2943, 1483, 2514, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251241, 2942, 1508, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251282, 2943, 1518, 2507, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251323, 2940, 1516, 2500, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251364, 2937, 1490, 2511, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251405, 2961, 1501, 2513, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251445, 2941, 1502, 2520, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251486, 2943, 1488, 2514, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251527, 2938, 1508, 2487, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251568, 2965, 1500, 2526, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251609, 2941, 1495, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251650, 2937, 1490, 2536, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251686, 2951, 1473, 2526, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251722, 2979, 1508, 2521, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251758, 2940, 1479, 2532, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251794, 2961, 1491, 2516, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251830, 2959, 1483, 2526, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251866, 2952, 1474, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251902, 2964, 1462, 2524, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251938, 2941, 1493, 2523, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
251974, 2966, 1464, 2532, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252010, 2945, 1489, 2527, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252049, 2958, 1474, 2520, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252088, 2956, 1474, 2519, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252127, 2963, 1481, 2539, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252166, 2947, 1447, 2526, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252205, 2960, 1487, 2536, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252244, 2926, 1493, 2520, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252283, 2940, 1494, 2543, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252322, 2946, 1465, 2518, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252361, 2951, 1466, 2539, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252400, 2949, 1472, 2534, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252437, 2947, 1473, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252474, 2948, 1470, 2525, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252511, 2950, 1462, 2498, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252549, 2967, 1490, 2498, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252586, 2951, 1507, 2522, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252623, 2949, 1500, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252660, 2964, 1510, 2496, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252698, 2990, 1444, 2513, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252735, 2951, 1509, 2485, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252772, 2903, 1468, 2544, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252810, 2940, 1441, 2513, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252850, 2945, 1550, 2481, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252890, 2939, 1546, 2534, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
252930, 2958, 1474, 2499, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
