118969, 2881, 2422, 1744, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119874, 2894, 2394, 1770, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119910, 2864, 2385, 1775, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119946, 2891, 2381, 1768, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
119982, 2879, 2385, 1795, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120018, 2890, 2386, 1771, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120054, 2897, 2394, 1780, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120091, 2884, 2404, 1781, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120127, 2868, 2385, 1778, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120163, 2878, 2387, 1767, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120199, 2868, 2394, 1773, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120235, 2889, 2395, 1783, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120272, 2876, 2395, 1786, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120308, 2885, 2390, 1771, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120345, 2894, 2376, 1784, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120382, 2885, 2407, 1765, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120419, 2864, 2421, 1766, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120456, 2878, 2406, 1776, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120493, 2875, 2402, 1786, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120530, 2855, 2388, 1771, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120567, 2847, 2402, 1770, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120604, 2893, 2401, 1779, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120641, 2870, 2412, 1766, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120681, 2876, 2412, 1766, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120721, 2883, 2399, 1758, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120762, 2862, 2421, 1778, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120802, 2855, 2423, 1769, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120843, 2856, 2406, 1771, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120883, 2853, 2419, 1775, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120923, 2859, 2421, 1749, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
120964, 2862, 2426, 1741, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121004, 2872, 2437, 1730, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121045, 2892, 2450, 1721, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121082, 2868, 2439, 1728, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121119, 2870, 2450, 1754, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121156, 2876, 2427, 1736, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
121193, 2876, 2417, 1750, 102, b595649f-dfbf-47a8-a048-064c9b3ae2b0, , sujud, sujud, , 
