110195, 2797, 696, 3004, 92, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113673, 2872, 788, 2936, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113710, 2867, 763, 2925, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113746, 2838, 774, 2946, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113783, 2835, 755, 2934, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113820, 2839, 764, 2926, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113856, 2837, 772, 2943, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113893, 2828, 749, 2937, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113930, 2862, 787, 2925, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
113966, 2832, 793, 2931, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114003, 2839, 799, 2923, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114040, 2851, 795, 2924, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114080, 2841, 795, 2913, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114120, 2845, 817, 2927, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114161, 2845, 812, 2941, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114201, 2855, 813, 2913, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114242, 2868, 790, 2938, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114282, 2857, 771, 2935, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114322, 2847, 791, 2917, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114363, 2852, 807, 2919, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114403, 2849, 802, 2942, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114444, 2853, 810, 2923, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114483, 2847, 788, 2915, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114523, 2850, 781, 2919, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114562, 2841, 788, 2919, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114602, 2842, 798, 2928, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114642, 2852, 809, 2914, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114681, 2836, 794, 2931, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114721, 2865, 812, 2923, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114760, 2839, 814, 2916, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114800, 2863, 808, 2923, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114840, 2852, 791, 2905, 90, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114875, 2853, 817, 2907, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114910, 2854, 798, 2917, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114945, 2846, 815, 2919, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
114980, 2847, 810, 2922, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115015, 2833, 836, 2920, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115050, 2845, 828, 2922, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115085, 2842, 832, 2928, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115120, 2837, 811, 2933, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115155, 2856, 829, 2922, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115190, 2835, 802, 2921, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115225, 2849, 830, 2899, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115265, 2869, 808, 2914, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115306, 2887, 862, 2942, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115347, 2837, 815, 2919, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115388, 2870, 792, 2903, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115429, 2861, 838, 2898, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115470, 2861, 828, 2913, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115511, 2828, 818, 2919, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115552, 2859, 815, 2938, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115593, 2851, 800, 2918, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115634, 2860, 823, 2918, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115670, 2858, 827, 2935, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115707, 2837, 817, 2870, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115743, 2871, 810, 2879, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115780, 2860, 798, 2913, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115816, 2866, 801, 2892, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115853, 2870, 782, 2903, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115889, 2879, 781, 2891, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115926, 2847, 838, 2910, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115962, 2895, 775, 2914, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
115999, 2874, 784, 2898, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116036, 2882, 785, 2903, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116077, 2892, 752, 2931, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116119, 2889, 754, 2894, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116161, 2891, 784, 2897, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116203, 2863, 851, 2937, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116245, 2869, 764, 2926, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
116286, 2820, 921, 2964, 88, 849f098c-9362-4043-a312-fd6a6d36903c, , sujud, sujud, , 
