219155, 1912, 1488, 3387, 80, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220507, 2079, 1552, 3257, 81, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220546, 2053, 1521, 3265, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220586, 2043, 1534, 3284, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220625, 2024, 1558, 3282, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220665, 2036, 1535, 3283, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220704, 2014, 1543, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220744, 2009, 1534, 3301, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220783, 2013, 1514, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220823, 1996, 1551, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220862, 1995, 1545, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220902, 2031, 1542, 3292, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220938, 1976, 1569, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
220974, 1958, 1569, 3305, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221011, 1977, 1546, 3314, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221047, 1993, 1550, 3311, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221084, 1994, 1547, 3313, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221120, 1950, 1560, 3299, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221157, 1973, 1553, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221193, 1978, 1556, 3296, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221230, 1996, 1563, 3308, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221266, 1996, 1560, 3311, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221303, 1997, 1554, 3296, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221346, 1969, 1567, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221389, 1988, 1557, 3299, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221433, 1984, 1558, 3302, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221476, 1973, 1580, 3285, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221520, 1987, 1563, 3299, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221563, 1986, 1577, 3314, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221606, 1976, 1566, 3290, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221650, 1969, 1567, 3296, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221693, 1985, 1574, 3293, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221737, 1971, 1566, 3291, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221772, 1976, 1565, 3290, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221807, 1992, 1582, 3285, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221842, 1990, 1560, 3296, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221878, 1964, 1570, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221913, 1992, 1569, 3308, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221948, 1989, 1587, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
221984, 1959, 1594, 3304, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222019, 1934, 1590, 3309, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222054, 1947, 1595, 3323, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222090, 1962, 1615, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222127, 1938, 1621, 3316, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222164, 1942, 1595, 3305, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222202, 1923, 1600, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222239, 1972, 1607, 3308, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222277, 1943, 1608, 3317, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222314, 1922, 1614, 3312, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222352, 1951, 1608, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222389, 1941, 1602, 3319, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222427, 1927, 1612, 3320, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222464, 1944, 1626, 3310, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222502, 1951, 1619, 3285, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222542, 1944, 1610, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222582, 1928, 1617, 3303, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222622, 1943, 1598, 3299, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222662, 1942, 1609, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222702, 1948, 1611, 3297, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222742, 1966, 1616, 3300, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222782, 1951, 1599, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222822, 1926, 1612, 3306, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222862, 1916, 1617, 3302, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222902, 1948, 1614, 3276, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222938, 1946, 1636, 3290, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
222974, 1939, 1611, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223010, 1939, 1629, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223046, 1961, 1604, 3301, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223082, 1924, 1608, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223119, 1958, 1612, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223155, 1936, 1613, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223191, 1949, 1620, 3303, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223227, 1940, 1627, 3295, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223263, 1928, 1624, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223300, 1953, 1607, 3302, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223339, 1927, 1609, 3297, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223378, 1929, 1602, 3307, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223418, 1936, 1615, 3291, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223457, 1962, 1623, 3300, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223497, 1912, 1626, 3306, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223536, 1925, 1624, 3326, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223575, 1929, 1612, 3305, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223615, 1933, 1630, 3311, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223654, 1933, 1636, 3304, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223694, 1925, 1598, 3293, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223730, 1913, 1621, 3305, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223766, 1932, 1641, 3306, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223802, 1933, 1621, 3307, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223838, 1901, 1619, 3318, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223874, 1918, 1630, 3275, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223911, 1930, 1637, 3292, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223947, 1899, 1607, 3294, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
223983, 1906, 1664, 3307, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224019, 1921, 1639, 3303, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224055, 1901, 1658, 3312, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224092, 1925, 1625, 3298, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224134, 1947, 1623, 3291, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224176, 1950, 1602, 3286, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224219, 1973, 1611, 3278, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
224261, 1954, 1644, 3281, 82, f18784b0-0aaa-4411-9a43-de2a871aeed1, , sujud, sujud, , 
