193665, 2830, 1312, 2691, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195267, 2893, 1477, 2595, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195308, 2900, 1446, 2588, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195349, 2889, 1447, 2577, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195390, 2902, 1494, 2591, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195431, 2909, 1475, 2595, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195472, 2891, 1487, 2573, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195513, 2874, 1507, 2576, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195554, 2884, 1478, 2577, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195595, 2887, 1470, 2563, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195632, 2900, 1487, 2566, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195670, 2901, 1495, 2552, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195708, 2901, 1479, 2584, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195745, 2911, 1485, 2574, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195783, 2897, 1503, 2570, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195821, 2882, 1482, 2581, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195859, 2917, 1488, 2572, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195896, 2899, 1523, 2568, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195934, 2894, 1496, 2570, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195972, 2896, 1503, 2565, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196010, 2879, 1520, 2573, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196048, 2890, 1492, 2559, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196087, 2899, 1493, 2573, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196126, 2875, 1514, 2599, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196165, 2898, 1528, 2567, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196204, 2902, 1511, 2569, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196242, 2869, 1516, 2568, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196281, 2884, 1512, 2569, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196320, 2908, 1523, 2558, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196359, 2879, 1511, 2566, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196398, 2899, 1514, 2562, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196433, 2895, 1516, 2571, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196469, 2899, 1509, 2585, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196505, 2903, 1503, 2565, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196541, 2892, 1505, 2572, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196577, 2896, 1463, 2589, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196612, 2896, 1480, 2598, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196648, 2885, 1468, 2593, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196684, 2887, 1468, 2571, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196720, 2879, 1478, 2594, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196756, 2890, 1458, 2583, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196792, 2904, 1478, 2578, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196832, 2875, 1463, 2602, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196872, 2904, 1478, 2581, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196912, 2895, 1484, 2594, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196952, 2881, 1473, 2604, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
196993, 2892, 1475, 2597, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197033, 2889, 1462, 2596, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197073, 2891, 1459, 2591, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197113, 2883, 1490, 2597, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197153, 2901, 1440, 2607, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197194, 2888, 1461, 2602, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197237, 2907, 1466, 2608, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197281, 2897, 1477, 2599, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197324, 2886, 1473, 2597, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197368, 2880, 1492, 2599, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197411, 2896, 1483, 2580, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197455, 2873, 1475, 2589, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197498, 2884, 1484, 2603, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197542, 2886, 1474, 2586, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197585, 2874, 1464, 2594, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197629, 2878, 1472, 2575, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197662, 2876, 1461, 2585, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197695, 2875, 1471, 2595, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197728, 2888, 1483, 2609, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197761, 2868, 1471, 2603, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197794, 2894, 1470, 2592, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197827, 2880, 1465, 2594, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197860, 2874, 1483, 2596, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197893, 2887, 1474, 2599, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197926, 2886, 1493, 2593, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197959, 2899, 1487, 2584, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
197992, 2905, 1471, 2575, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198033, 2890, 1492, 2587, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198075, 2882, 1501, 2589, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198116, 2873, 1479, 2590, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198158, 2890, 1480, 2593, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198200, 2892, 1498, 2597, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198241, 2888, 1479, 2607, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198283, 2872, 1462, 2587, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198324, 2899, 1472, 2594, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198366, 2897, 1401, 2639, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198408, 2859, 1483, 2597, 102, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198442, 2870, 1494, 2568, 103, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198476, 2925, 1458, 2557, 103, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198510, 2922, 1511, 2556, 103, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198544, 2913, 1552, 2559, 103, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
198578, 2926, 1537, 2561, 103, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
